,date,vodka,State,spider solitaire,participants_x,inflation_x,participants_y,blood drive,ebay,jobs,brownie recipe,xbox,linkedin,haircut,calvin klein,candy crush,omegle,slutload,inflation_y,harvard,jobs near me,mens underwear,pornhub,lottery,google flights,unemployment,resume template
26,2013-03-01,46.0,AL,81.0,5.0,25.0,16.0,0.0,89.0,58.0,26.0,51.0,65.0,39,22.0,17.0,76.0,30.0,30.0,56.0,0.0,12,54,26.0,7,41,49.0
27,2013-04-01,71.0,AL,69.0,26.0,78.0,17.0,15.0,83.0,68.0,45.0,43.0,84.0,47,42.0,26.0,96.0,22.0,82.0,59.0,2.0,12,60,19.0,3,40,26.0
28,2013-05-01,66.0,AL,31.0,5.0,27.0,17.0,47.0,89.0,80.0,37.0,67.0,71.0,46,23.0,56.0,72.0,30.0,41.0,63.0,1.0,0,65,32.0,18,51,46.0
29,2013-06-01,68.0,AL,43.0,6.0,91.0,37.0,17.0,90.0,76.0,40.0,81.0,64.0,54,33.0,93.0,72.0,42.0,39.0,40.0,0.0,41,67,27.0,8,52,21.0
30,2013-07-01,55.0,AL,36.0,9.0,43.0,0.0,0.0,87.0,72.0,50.0,64.0,73.0,48,35.0,100.0,100.0,15.0,47.0,36.0,1.0,11,66,31.0,7,43,88.0
31,2013-08-01,50.0,AL,55.0,11.0,69.0,17.0,0.0,90.0,79.0,46.0,62.0,79.0,95,35.0,92.0,77.0,17.0,56.0,40.0,1.0,38,60,29.0,5,44,59.0
32,2013-09-01,47.0,AL,34.0,20.0,66.0,17.0,0.0,79.0,72.0,53.0,54.0,87.0,39,37.0,77.0,60.0,16.0,94.0,60.0,2.0,12,56,23.0,12,35,51.0
33,2013-10-01,54.0,AL,42.0,15.0,54.0,32.0,15.0,78.0,69.0,35.0,51.0,77.0,44,29.0,61.0,48.0,16.0,53.0,58.0,1.0,47,57,17.0,7,44,49.0
34,2013-11-01,83.0,AL,52.0,5.0,75.0,49.0,0.0,87.0,57.0,43.0,97.0,71.0,53,26.0,55.0,60.0,21.0,54.0,62.0,0.0,48,56,20.0,5,34,44.0
35,2013-12-01,68.0,AL,40.0,19.0,62.0,47.0,42.0,87.0,55.0,42.0,94.0,58.0,46,59.0,51.0,74.0,20.0,56.0,47.0,1.0,0,59,40.0,14,40,53.0
36,2014-01-01,54.0,AL,20.0,8.0,55.0,27.0,12.0,79.0,75.0,67.0,57.0,63.0,66,31.0,60.0,76.0,20.0,41.0,41.0,1.0,10,57,30.0,12,59,31.0
37,2014-02-01,57.0,AL,49.0,28.0,48.0,61.0,28.0,79.0,64.0,33.0,52.0,70.0,54,24.0,48.0,57.0,24.0,69.0,45.0,0.0,46,54,26.0,12,39,47.0
38,2014-03-01,60.0,AL,41.0,5.0,92.0,16.0,28.0,80.0,69.0,50.0,55.0,77.0,47,25.0,36.0,59.0,13.0,100.0,65.0,1.0,92,55,27.0,14,41,88.0
39,2014-04-01,43.0,AL,62.0,0.0,52.0,72.0,26.0,73.0,70.0,54.0,46.0,65.0,51,25.0,33.0,49.0,8.0,77.0,55.0,1.0,31,56,26.0,25,35,32.0
40,2014-05-01,53.0,AL,29.0,30.0,50.0,49.0,0.0,79.0,76.0,17.0,49.0,74.0,45,47.0,29.0,60.0,11.0,54.0,51.0,1.0,0,59,22.0,12,26,37.0
41,2014-06-01,58.0,AL,64.0,17.0,29.0,37.0,0.0,79.0,80.0,100.0,66.0,81.0,45,12.0,27.0,76.0,11.0,61.0,53.0,2.0,54,65,18.0,14,37,35.0
42,2014-07-01,63.0,AL,39.0,36.0,42.0,50.0,61.0,83.0,74.0,18.0,57.0,76.0,69,23.0,24.0,72.0,21.0,30.0,74.0,1.0,37,58,23.0,12,32,25.0
43,2014-08-01,59.0,AL,38.0,15.0,45.0,49.0,59.0,76.0,73.0,9.0,43.0,77.0,44,22.0,24.0,47.0,14.0,34.0,47.0,5.0,12,54,24.0,19,22,25.0
44,2014-09-01,64.0,AL,47.0,5.0,88.0,0.0,14.0,72.0,73.0,17.0,41.0,76.0,39,29.0,20.0,53.0,14.0,63.0,78.0,3.0,47,53,21.0,24,21,30.0
45,2014-10-01,53.0,AL,39.0,20.0,67.0,51.0,0.0,70.0,71.0,9.0,43.0,71.0,45,38.0,25.0,51.0,14.0,76.0,57.0,3.0,25,51,21.0,12,29,38.0
46,2014-11-01,64.0,AL,58.0,6.0,50.0,55.0,0.0,77.0,58.0,19.0,73.0,63.0,60,61.0,15.0,66.0,21.0,49.0,73.0,1.0,40,49,23.0,16,24,27.0
47,2014-12-01,71.0,AL,31.0,5.0,83.0,0.0,49.0,82.0,58.0,29.0,100.0,65.0,36,48.0,20.0,49.0,13.0,76.0,52.0,11.0,13,50,18.0,19,27,14.0
48,2015-01-01,45.0,AL,35.0,26.0,48.0,69.0,62.0,68.0,72.0,37.0,55.0,78.0,48,100.0,23.0,70.0,10.0,52.0,64.0,10.0,0,52,21.0,23,30,19.0
49,2015-02-01,51.0,AL,59.0,23.0,74.0,37.0,50.0,68.0,60.0,50.0,53.0,76.0,55,8.0,19.0,65.0,11.0,78.0,48.0,6.0,41,50,32.0,25,22,49.0
50,2015-03-01,47.0,AL,57.0,11.0,100.0,72.0,16.0,73.0,66.0,49.0,48.0,83.0,49,36.0,19.0,64.0,8.0,76.0,62.0,5.0,40,55,21.0,32,22,48.0
51,2015-04-01,50.0,AL,80.0,11.0,85.0,55.0,33.0,66.0,68.0,40.0,46.0,71.0,51,45.0,15.0,54.0,21.0,60.0,72.0,8.0,40,55,18.0,27,22,63.0
52,2015-05-01,57.0,AL,52.0,0.0,96.0,20.0,53.0,69.0,70.0,32.0,48.0,84.0,60,31.0,15.0,57.0,11.0,77.0,37.0,3.0,15,55,26.0,59,24,45.0
53,2015-06-01,58.0,AL,41.0,6.0,81.0,81.0,18.0,70.0,78.0,33.0,69.0,100.0,66,27.0,15.0,70.0,9.0,43.0,64.0,11.0,0,61,25.0,33,25,31.0
54,2015-07-01,69.0,AL,100.0,0.0,39.0,18.0,33.0,74.0,73.0,49.0,70.0,92.0,50,40.0,17.0,59.0,10.0,60.0,44.0,6.0,40,62,21.0,49,26,48.0
55,2015-08-01,65.0,AL,69.0,36.0,37.0,68.0,15.0,68.0,76.0,45.0,57.0,83.0,64,19.0,14.0,44.0,7.0,41.0,56.0,8.0,38,57,20.0,33,23,64.0
56,2015-09-01,65.0,AL,61.0,5.0,50.0,32.0,15.0,62.0,63.0,17.0,48.0,72.0,49,32.0,12.0,38.0,12.0,53.0,53.0,13.0,12,54,19.0,31,26,30.0
57,2015-10-01,66.0,AL,96.0,10.0,82.0,94.0,28.0,62.0,67.0,42.0,49.0,74.0,53,28.0,8.0,48.0,13.0,99.0,47.0,12.0,11,55,20.0,51,28,35.0
58,2015-11-01,49.0,AL,52.0,25.0,50.0,49.0,29.0,67.0,57.0,26.0,77.0,74.0,59,47.0,12.0,43.0,2.0,64.0,69.0,8.0,24,58,22.0,29,21,55.0
59,2015-12-01,69.0,AL,98.0,15.0,79.0,64.0,58.0,71.0,56.0,43.0,100.0,55.0,47,61.0,14.0,45.0,9.0,53.0,74.0,4.0,59,58,22.0,33,25,18.0
60,2016-01-01,63.0,AL,34.0,19.0,42.0,42.0,85.0,52.0,62.0,11.0,63.0,54.0,73,40.0,14.0,31.0,9.0,41.0,58.0,17.0,23,58,100.0,34,28,16.0
61,2016-02-01,57.0,AL,59.0,30.0,53.0,97.0,29.0,55.0,63.0,17.0,53.0,55.0,45,29.0,10.0,26.0,8.0,61.0,52.0,15.0,31,56,28.0,28,24,52.0
62,2016-03-01,74.0,AL,26.0,19.0,72.0,71.0,18.0,56.0,60.0,22.0,46.0,54.0,75,41.0,10.0,28.0,14.0,67.0,47.0,13.0,59,62,23.0,31,24,11.0
63,2016-04-01,68.0,AL,34.0,23.0,80.0,75.0,10.0,50.0,67.0,52.0,48.0,60.0,73,43.0,11.0,26.0,15.0,83.0,42.0,23.0,0,60,20.0,28,22,29.0
64,2016-05-01,62.0,AL,51.0,10.0,56.0,33.0,0.0,52.0,70.0,29.0,51.0,59.0,77,49.0,10.0,32.0,6.0,46.0,49.0,26.0,16,66,29.0,19,24,21.0
65,2016-06-01,58.0,AL,42.0,14.0,65.0,78.0,30.0,52.0,70.0,30.0,65.0,64.0,57,42.0,13.0,45.0,9.0,44.0,32.0,31.0,40,69,27.0,38,26,30.0
66,2016-07-01,82.0,AL,38.0,17.0,41.0,33.0,0.0,54.0,69.0,18.0,59.0,55.0,61,54.0,9.0,37.0,9.0,53.0,41.0,18.0,24,69,36.0,38,24,21.0
67,2016-08-01,59.0,AL,60.0,13.0,47.0,22.0,10.0,48.0,70.0,17.0,47.0,54.0,60,31.0,10.0,27.0,6.0,32.0,40.0,21.0,32,64,24.0,37,26,41.0
68,2016-09-01,64.0,AL,27.0,16.0,82.0,31.0,46.0,45.0,64.0,28.0,47.0,55.0,55,44.0,10.0,19.0,9.0,65.0,50.0,25.0,30,63,23.0,21,25,31.0
69,2016-10-01,81.0,AL,38.0,12.0,72.0,41.0,18.0,44.0,62.0,16.0,45.0,46.0,57,59.0,9.0,21.0,10.0,74.0,49.0,24.0,45,63,21.0,36,19,27.0
70,2016-11-01,48.0,AL,57.0,21.0,70.0,70.0,27.0,49.0,57.0,16.0,60.0,48.0,66,32.0,8.0,22.0,13.0,57.0,70.0,21.0,22,64,22.0,40,20,26.0
71,2016-12-01,74.0,AL,26.0,15.0,57.0,20.0,18.0,53.0,49.0,48.0,82.0,42.0,59,37.0,10.0,22.0,8.0,65.0,43.0,24.0,44,62,24.0,32,22,30.0
72,2017-01-01,61.0,AL,35.0,3.0,59.0,28.0,8.0,50.0,65.0,35.0,58.0,52.0,57,43.0,9.0,21.0,5.0,50.0,41.0,34.0,61,59,21.0,27,28,21.0
73,2017-02-01,78.0,AL,49.0,27.0,45.0,49.0,61.0,48.0,58.0,47.0,41.0,55.0,72,33.0,7.0,27.0,1.0,53.0,47.0,33.0,36,60,24.0,41,20,26.0
74,2017-03-01,68.0,AL,47.0,22.0,52.0,100.0,16.0,53.0,62.0,29.0,44.0,44.0,69,32.0,8.0,21.0,3.0,49.0,41.0,29.0,33,63,24.0,46,20,30.0
75,2017-04-01,46.0,AL,39.0,15.0,64.0,38.0,43.0,48.0,61.0,21.0,39.0,44.0,70,36.0,5.0,22.0,7.0,42.0,42.0,32.0,49,68,23.0,55,22,32.0
76,2017-05-01,49.0,AL,42.0,9.0,77.0,38.0,0.0,48.0,67.0,21.0,42.0,40.0,66,32.0,9.0,20.0,7.0,35.0,53.0,42.0,7,70,26.0,60,23,18.0
77,2017-06-01,90.0,AL,35.0,18.0,55.0,60.0,63.0,51.0,71.0,21.0,59.0,41.0,59,27.0,10.0,21.0,9.0,42.0,36.0,39.0,22,70,29.0,49,29,11.0
78,2017-07-01,75.0,AL,38.0,18.0,40.0,70.0,100.0,49.0,68.0,27.0,48.0,41.0,59,47.0,11.0,24.0,9.0,30.0,29.0,60.0,51,74,28.0,40,30,26.0
79,2017-08-01,47.0,AL,69.0,14.0,31.0,37.0,100.0,47.0,74.0,45.0,43.0,52.0,75,43.0,9.0,21.0,7.0,39.0,38.0,53.0,27,65,45.0,63,21,24.0
80,2017-09-01,65.0,AL,48.0,11.0,53.0,45.0,41.0,42.0,66.0,10.0,41.0,50.0,67,36.0,7.0,12.0,9.0,51.0,58.0,54.0,13,64,24.0,44,23,28.0
81,2017-10-01,72.0,AL,63.0,11.0,60.0,62.0,40.0,43.0,65.0,29.0,42.0,49.0,55,48.0,7.0,12.0,5.0,48.0,52.0,52.0,46,65,22.0,55,20,24.0
82,2017-11-01,58.0,AL,60.0,11.0,68.0,36.0,24.0,46.0,57.0,38.0,64.0,40.0,54,54.0,8.0,20.0,6.0,80.0,65.0,49.0,26,80,21.0,37,20,14.0
83,2017-12-01,69.0,AL,65.0,3.0,57.0,9.0,40.0,50.0,54.0,29.0,82.0,29.0,58,38.0,9.0,16.0,4.0,70.0,41.0,48.0,46,83,29.0,56,26,17.0
84,2018-01-01,63.0,AL,45.0,20.0,56.0,33.0,15.0,43.0,73.0,18.0,51.0,49.0,64,42.0,7.0,10.0,7.0,50.0,57.0,58.0,30,77,33.0,75,34,15.0
85,2018-02-01,61.0,AL,57.0,11.0,77.0,44.0,16.0,42.0,61.0,19.0,44.0,46.0,71,34.0,7.0,15.0,8.0,79.0,51.0,54.0,20,78,23.0,67,24,13.0
