date,cornell,State
2015-06-14,0,AK
2015-06-21,4,AK
2015-06-28,0,AK
2015-07-05,0,AK
2015-07-12,0,AK
2015-07-19,0,AK
2015-07-26,4,AK
2015-08-02,0,AK
2015-08-09,4,AK
2015-08-16,12,AK
2015-08-23,4,AK
2015-08-30,0,AK
2015-09-06,4,AK
2015-09-13,8,AK
2015-09-20,0,AK
2015-09-27,0,AK
2015-10-04,0,AK
2015-10-11,11,AK
2015-10-18,4,AK
2015-10-25,8,AK
2015-11-01,0,AK
2015-11-08,0,AK
2015-11-15,0,AK
2015-11-22,12,AK
2015-11-29,4,AK
2015-12-06,0,AK
2015-12-13,0,AK
2015-12-20,0,AK
2015-12-27,4,AK
2016-01-03,4,AK
2016-01-10,4,AK
2016-01-17,4,AK
2016-01-24,4,AK
2016-01-31,0,AK
2016-02-07,0,AK
2016-02-14,0,AK
2016-02-21,4,AK
2016-02-28,4,AK
2016-03-06,7,AK
2016-03-13,4,AK
2016-03-20,4,AK
2016-03-27,0,AK
2016-04-03,0,AK
2016-04-10,4,AK
2016-04-17,0,AK
2016-04-24,11,AK
2016-05-01,0,AK
2016-05-08,4,AK
2016-05-15,4,AK
2016-05-22,0,AK
2016-05-29,0,AK
2016-06-05,4,AK
2016-06-12,0,AK
2016-06-19,4,AK
2016-06-26,0,AK
2016-07-03,4,AK
2016-07-10,7,AK
2016-07-17,4,AK
2016-07-24,4,AK
2016-07-31,0,AK
2016-08-07,0,AK
2016-08-14,0,AK
2016-08-21,0,AK
2016-08-28,4,AK
2016-09-04,0,AK
2016-09-11,7,AK
2016-09-18,0,AK
2016-09-25,4,AK
2016-10-02,4,AK
2016-10-09,0,AK
2016-10-16,7,AK
2016-10-23,0,AK
2016-10-30,4,AK
2016-11-06,7,AK
2016-11-13,0,AK
2016-11-20,4,AK
2016-11-27,0,AK
2016-12-04,3,AK
2016-12-11,0,AK
2016-12-18,0,AK
2016-12-25,4,AK
2017-01-01,8,AK
2017-01-08,0,AK
2017-01-15,0,AK
2017-01-22,0,AK
2017-01-29,0,AK
2017-02-05,0,AK
2017-02-12,0,AK
2017-02-19,7,AK
2017-02-26,3,AK
2017-03-05,0,AK
2017-03-12,3,AK
2017-03-19,3,AK
2017-03-26,0,AK
2017-04-02,3,AK
2017-04-09,7,AK
2017-04-16,0,AK
2017-04-23,0,AK
2017-04-30,17,AK
2017-05-07,0,AK
2017-05-14,100,AK
2017-05-21,31,AK
2017-05-28,20,AK
