fips,state,year,month,civ_pop,civ_pop_working_age,percent_working_age,employed,percent_employed,unemployed,unemployment_rate,date,v1,spidersolitaire,blooddrive,brownierecipe,xbox,linkedin,candycrush,omegle,harvard,jobsnearme,pornhub,googleflights,google_unemployment,resumetemplate,stname,_merge
11,District of Columbia,2013,6,537806,374101,69.59999999999999,342076,63.6,32025,8.6,01jun2013,708,14,26,10,48,52,100,79,42,3,68,3,47,19,District of Columbia,matched (3)
12,Florida,2013,6,15650151,9464347,60.5,8777249,56.1,687098,7.3,01jun2013,902,57,43,61,80,69,82,79,61,2,97,7,58,45,Florida,matched (3)
13,Georgia,2013,6,7552106,4761816,63.1,4368131,57.8,393685,8.300000000000001,01jun2013,999,34,35,77,85,77,91,100,50,1,83,9,61,30,Georgia,matched (3)
15,Hawaii,2013,6,1073281,649820,60.5,618374,57.6,31446,4.8,01jun2013,1096,52,0,93,70,79,100,90,39,0,94,5,62,51,Hawaii,matched (3)
16,Idaho,2013,6,1206904,770199,63.8,722261,59.8,47938,6.2,01jun2013,1193,100,0,30,73,84,93,83,24,0,72,22,39,18,Idaho,matched (3)
17,Illinois,2013,6,10026829,6556074,65.40000000000001,5957303,59.4,598771,9.1,01jun2013,1290,63,31,59,67,82,96,89,62,2,83,6,56,44,Illinois,matched (3)
18,Indiana,2013,6,5061392,3187584,63,2939083,58.1,248501,7.8,01jun2013,1387,34,36,79,84,71,83,95,44,1,73,14,33,77,Indiana,matched (3)
19,Iowa,2013,6,2403499,1675671,69.7,1595295,66.40000000000001,80376,4.8,01jun2013,1484,75,0,40,71,83,75,100,39,0,69,15,44,21,Iowa,matched (3)
20,Kansas,2013,6,2181676,1486898,68.2,1406811,64.5,80087,5.4,01jun2013,1581,82,0,37,79,76,79,100,39,0,68,7,41,28,Kansas,matched (3)
21,Kentucky,2013,6,3409232,2062221,60.5,1894931,55.6,167290,8.1,01jun2013,1678,49,0,95,79,86,81,86,47,2,71,10,53,7,Kentucky,matched (3)
22,Louisiana,2013,6,3522979,2102566,59.7,1957422,55.6,145144,6.9,01jun2013,1775,41,24,34,84,71,98,82,31,1,72,6,62,62,Louisiana,matched (3)
23,Maine,2013,6,1084195,706309,65.09999999999999,659246,60.8,47063,6.7,01jun2013,1872,57,25,0,69,98,64,95,89,4,69,12,42,0,Maine,matched (3)
24,Maryland,2013,6,4636114,3131551,67.5,2924211,63.1,207340,6.6,01jun2013,1969,61,56,45,68,72,90,71,51,0,84,9,72,53,Maryland,matched (3)
25,Massachusetts,2013,6,5403211,3516697,65.09999999999999,3275355,60.6,241342,6.9,01jun2013,2066,70,55,27,62,79,77,83,55,2,81,8,42,48,Massachusetts,matched (3)
26,Michigan,2013,6,7822688,4732138,60.5,4313404,55.1,418734,8.800000000000001,01jun2013,2163,81,51,67,73,92,100,100,61,2,72,6,42,71,Michigan,matched (3)
27,Minnesota,2013,6,4215912,2957938,70.2,2810445,66.7,147493,5,01jun2013,2260,65,21,57,71,75,93,86,56,1,77,4,47,18,Minnesota,matched (3)
28,Mississippi,2013,6,2262833,1274902,56.3,1165168,51.5,109734,8.6,01jun2013,2357,18,33,51,70,60,97,100,53,0,66,0,62,10,Mississippi,matched (3)
29,Missouri,2013,6,4687202,3023445,64.5,2818684,60.1,204761,6.8,01jun2013,2454,50,46,50,67,74,98,84,49,0,73,16,44,30,Missouri,matched (3)
30,Montana,2013,6,798475,510270,63.9,482407,60.4,27863,5.5,01jun2013,2551,30,0,26,69,85,69,79,14,0,63,5,33,64,Montana,matched (3)
31,Nebraska,2013,6,1419638,1019251,71.8,980370,69.09999999999999,38881,3.8,01jun2013,2648,31,34,17,69,85,100,100,38,3,71,4,64,26,Nebraska,matched (3)
32,Nevada,2013,6,2151564,1382208,64.2,1247511,58,134697,9.699999999999999,01jun2013,2745,42,54,26,87,95,94,75,34,2,82,6,36,52,Nevada,matched (3)
33,New Hampshire,2013,6,1074248,741194,69,703602,65.5,37592,5.1,01jun2013,2842,42,0,84,64,79,63,73,61,0,78,9,56,37,New Hampshire,matched (3)
34,New Jersey,2013,6,6971883,4559345,65.40000000000001,4177318,59.9,382027,8.4,01jun2013,2939,66,29,34,68,86,100,79,63,2,85,8,57,77,New Jersey,matched (3)
35,New Mexico,2013,6,1600422,922686,57.7,859209,53.7,63477,6.9,01jun2013,3036,60,0,42,88,74,79,81,17,0,80,6,48,32,New Mexico,matched (3)
36,New York,2013,6,15634821,9685182,61.9,8932756,57.1,752426,7.8,01jun2013,3133,54,39,86,71,80,92,88,76,1,83,8,57,72,New York,matched (3)
37,Los Angeles County,2013,6,7881049,4974957,63.1,4484474,56.9,490483,9.9,01jun2013,3230,64,60,51,76,90,100,80,60,1,76,9,73,51,North Carolina,matched (3)
38,North Dakota,2013,6,557271,406196,72.90000000000001,394364,70.8,11832,2.9,01jun2013,3327,59,77,31,68,73,61,100,13,0,69,31,27,30,North Dakota,matched (3)
39,Ohio,2013,6,9054974,5726408,63.2,5294634,58.5,431774,7.5,01jun2013,3424,48,59,89,72,83,86,79,62,2,72,8,42,21,Ohio,matched (3)
40,Oklahoma,2013,6,2919606,1804808,61.8,1708896,58.5,95912,5.3,01jun2013,3521,50,17,20,73,65,84,76,50,0,67,8,46,10,Oklahoma,matched (3)
41,Oregon,2013,6,3122254,1908985,61.1,1758586,56.3,150399,7.9,01jun2013,3618,37,33,100,85,88,100,74,52,1,73,16,46,12,Oregon,matched (3)
42,Pennsylvania,2013,6,10175211,6452910,63.4,5976455,58.7,476455,7.4,01jun2013,3715,54,43,68,75,87,95,94,72,1,71,10,65,67,Pennsylvania,matched (3)
44,Rhode Island,2013,6,850061,556409,65.5,504847,59.4,51562,9.300000000000001,01jun2013,3812,29,0,23,63,75,70,90,54,0,77,0,61,21,Rhode Island,matched (3)
45,South Carolina,2013,6,3699737,2191736,59.2,2021573,54.6,170163,7.8,01jun2013,3909,53,91,30,76,83,86,81,44,1,85,16,59,38,South Carolina,matched (3)
46,South Dakota,2013,6,638125,442689,69.40000000000001,425837,66.7,16852,3.8,01jun2013,4006,30,0,21,69,73,85,36,12,0,52,0,42,34,South Dakota,matched (3)
