date,xbox,isPartial,State
2011-01-01,59,False,AL
2011-02-01,42,False,AL
2011-03-01,41,False,AL
2011-04-01,45,False,AL
2011-05-01,46,False,AL
2011-06-01,58,False,AL
2011-07-01,55,False,AL
2011-08-01,50,False,AL
2011-09-01,48,False,AL
2011-10-01,47,False,AL
2011-11-01,69,False,AL
2011-12-01,79,False,AL
2012-01-01,55,False,AL
2012-02-01,40,False,AL
2012-03-01,41,False,AL
2012-04-01,37,False,AL
2012-05-01,46,False,AL
2012-06-01,57,False,AL
2012-07-01,61,False,AL
2012-08-01,51,False,AL
2012-09-01,42,False,AL
2012-10-01,42,False,AL
2012-11-01,62,False,AL
2012-12-01,64,False,AL
2013-01-01,51,False,AL
2013-02-01,49,False,AL
2013-03-01,51,False,AL
2013-04-01,43,False,AL
2013-05-01,67,False,AL
2013-06-01,81,False,AL
2013-07-01,64,False,AL
2013-08-01,62,False,AL
2013-09-01,54,False,AL
2013-10-01,51,False,AL
2013-11-01,97,False,AL
2013-12-01,94,False,AL
2014-01-01,57,False,AL
2014-02-01,52,False,AL
2014-03-01,55,False,AL
2014-04-01,46,False,AL
2014-05-01,49,False,AL
2014-06-01,66,False,AL
2014-07-01,57,False,AL
2014-08-01,43,False,AL
2014-09-01,41,False,AL
2014-10-01,43,False,AL
2014-11-01,73,False,AL
2014-12-01,100,False,AL
2015-01-01,55,False,AL
2015-02-01,53,False,AL
2015-03-01,48,False,AL
2015-04-01,46,False,AL
2015-05-01,48,False,AL
2015-06-01,69,False,AL
2015-07-01,70,False,AL
2015-08-01,57,False,AL
2015-09-01,48,False,AL
2015-10-01,49,False,AL
2015-11-01,77,False,AL
2015-12-01,100,False,AL
2016-01-01,63,False,AL
2016-02-01,53,False,AL
2016-03-01,46,False,AL
2016-04-01,48,False,AL
2016-05-01,51,False,AL
2016-06-01,65,False,AL
2016-07-01,59,False,AL
2016-08-01,47,False,AL
2016-09-01,47,False,AL
2016-10-01,45,False,AL
2016-11-01,60,False,AL
2016-12-01,82,False,AL
2017-01-01,58,False,AL
2017-02-01,41,False,AL
2017-03-01,44,False,AL
2017-04-01,39,False,AL
2017-05-01,42,False,AL
2017-06-01,59,False,AL
2017-07-01,48,False,AL
2017-08-01,43,False,AL
2017-09-01,41,False,AL
2017-10-01,42,False,AL
2017-11-01,64,False,AL
2017-12-01,82,False,AL
2018-01-01,51,False,AL
2018-02-01,44,False,AL
2018-03-01,51,False,AL
2018-04-01,42,False,AL
2018-05-01,44,False,AL
2018-06-01,54,False,AL
2018-07-01,50,False,AL
2018-08-01,42,False,AL
2018-09-01,42,False,AL
2018-10-01,41,False,AL
2018-11-01,55,False,AL
2018-12-01,71,False,AL
2019-01-01,47,False,AL
2011-01-01,47,False,AK
2011-02-01,41,False,AK
2011-03-01,55,False,AK
2011-04-01,35,False,AK
2011-05-01,33,False,AK
2011-06-01,52,False,AK
2011-07-01,37,False,AK
2011-08-01,46,False,AK
2011-09-01,33,False,AK
2011-10-01,41,False,AK
2011-11-01,72,False,AK
2011-12-01,69,False,AK
2012-01-01,41,False,AK
2012-02-01,40,False,AK
2012-03-01,31,False,AK
2012-04-01,32,False,AK
2012-05-01,30,False,AK
2012-06-01,54,False,AK
2012-07-01,31,False,AK
2012-08-01,50,False,AK
2012-09-01,54,False,AK
2012-10-01,46,False,AK
2012-11-01,75,False,AK
2012-12-01,62,False,AK
2013-01-01,43,False,AK
2013-02-01,43,False,AK
2013-03-01,41,False,AK
2013-04-01,46,False,AK
2013-05-01,61,False,AK
2013-06-01,62,False,AK
2013-07-01,43,False,AK
2013-08-01,48,False,AK
2013-09-01,51,False,AK
2013-10-01,54,False,AK
2013-11-01,100,False,AK
2013-12-01,88,False,AK
2014-01-01,67,False,AK
2014-02-01,48,False,AK
2014-03-01,48,False,AK
2014-04-01,43,False,AK
2014-05-01,47,False,AK
2014-06-01,52,False,AK
2014-07-01,48,False,AK
2014-08-01,45,False,AK
2014-09-01,40,False,AK
2014-10-01,55,False,AK
2014-11-01,78,False,AK
2014-12-01,89,False,AK
2015-01-01,50,False,AK
2015-02-01,50,False,AK
2015-03-01,46,False,AK
2015-04-01,44,False,AK
2015-05-01,51,False,AK
2015-06-01,54,False,AK
2015-07-01,47,False,AK
2015-08-01,35,False,AK
2015-09-01,48,False,AK
2015-10-01,60,False,AK
2015-11-01,85,False,AK
2015-12-01,68,False,AK
2016-01-01,64,False,AK
2016-02-01,62,False,AK
2016-03-01,59,False,AK
2016-04-01,41,False,AK
2016-05-01,39,False,AK
2016-06-01,52,False,AK
2016-07-01,47,False,AK
2016-08-01,45,False,AK
2016-09-01,44,False,AK
2016-10-01,47,False,AK
2016-11-01,69,False,AK
2016-12-01,60,False,AK
2017-01-01,49,False,AK
2017-02-01,48,False,AK
2017-03-01,39,False,AK
2017-04-01,46,False,AK
2017-05-01,37,False,AK
2017-06-01,46,False,AK
2017-07-01,49,False,AK
2017-08-01,40,False,AK
2017-09-01,44,False,AK
2017-10-01,43,False,AK
2017-11-01,76,False,AK
2017-12-01,67,False,AK
2018-01-01,70,False,AK
2018-02-01,38,False,AK
2018-03-01,58,False,AK
2018-04-01,45,False,AK
2018-05-01,30,False,AK
2018-06-01,51,False,AK
2018-07-01,40,False,AK
2018-08-01,46,False,AK
2018-09-01,40,False,AK
2018-10-01,43,False,AK
2018-11-01,58,False,AK
2018-12-01,50,False,AK
2019-01-01,53,False,AK
2011-01-01,60,False,AZ
2011-02-01,45,False,AZ
2011-03-01,46,False,AZ
2011-04-01,48,False,AZ
2011-05-01,54,False,AZ
2011-06-01,65,False,AZ
2011-07-01,60,False,AZ
2011-08-01,50,False,AZ
2011-09-01,49,False,AZ
2011-10-01,52,False,AZ
2011-11-01,70,False,AZ
2011-12-01,78,False,AZ
2012-01-01,51,False,AZ
2012-02-01,45,False,AZ
2012-03-01,42,False,AZ
2012-04-01,42,False,AZ
2012-05-01,47,False,AZ
2012-06-01,55,False,AZ
2012-07-01,64,False,AZ
2012-08-01,53,False,AZ
2012-09-01,49,False,AZ
2012-10-01,49,False,AZ
2012-11-01,68,False,AZ
2012-12-01,73,False,AZ
2013-01-01,56,False,AZ
2013-02-01,47,False,AZ
2013-03-01,54,False,AZ
2013-04-01,50,False,AZ
2013-05-01,66,False,AZ
2013-06-01,85,False,AZ
2013-07-01,63,False,AZ
2013-08-01,59,False,AZ
2013-09-01,60,False,AZ
2013-10-01,55,False,AZ
2013-11-01,95,False,AZ
2013-12-01,93,False,AZ
2014-01-01,55,False,AZ
2014-02-01,45,False,AZ
2014-03-01,60,False,AZ
2014-04-01,51,False,AZ
2014-05-01,49,False,AZ
2014-06-01,66,False,AZ
2014-07-01,63,False,AZ
2014-08-01,55,False,AZ
2014-09-01,54,False,AZ
2014-10-01,50,False,AZ
2014-11-01,76,False,AZ
2014-12-01,100,False,AZ
2015-01-01,61,False,AZ
2015-02-01,49,False,AZ
2015-03-01,51,False,AZ
2015-04-01,54,False,AZ
2015-05-01,55,False,AZ
2015-06-01,84,False,AZ
2015-07-01,73,False,AZ
2015-08-01,63,False,AZ
2015-09-01,54,False,AZ
2015-10-01,56,False,AZ
2015-11-01,85,False,AZ
2015-12-01,97,False,AZ
2016-01-01,61,False,AZ
2016-02-01,55,False,AZ
2016-03-01,50,False,AZ
2016-04-01,46,False,AZ
2016-05-01,54,False,AZ
2016-06-01,74,False,AZ
2016-07-01,60,False,AZ
2016-08-01,52,False,AZ
2016-09-01,50,False,AZ
2016-10-01,48,False,AZ
2016-11-01,56,False,AZ
2016-12-01,78,False,AZ
2017-01-01,53,False,AZ
2017-02-01,45,False,AZ
2017-03-01,44,False,AZ
2017-04-01,44,False,AZ
2017-05-01,40,False,AZ
2017-06-01,62,False,AZ
2017-07-01,56,False,AZ
2017-08-01,47,False,AZ
2017-09-01,44,False,AZ
2017-10-01,43,False,AZ
2017-11-01,68,False,AZ
2017-12-01,75,False,AZ
2018-01-01,53,False,AZ
2018-02-01,46,False,AZ
2018-03-01,53,False,AZ
2018-04-01,47,False,AZ
2018-05-01,50,False,AZ
2018-06-01,56,False,AZ
2018-07-01,54,False,AZ
2018-08-01,51,False,AZ
2018-09-01,48,False,AZ
2018-10-01,45,False,AZ
2018-11-01,60,False,AZ
2018-12-01,62,False,AZ
2019-01-01,44,False,AZ
2011-01-01,60,False,AR
2011-02-01,50,False,AR
2011-03-01,40,False,AR
2011-04-01,42,False,AR
2011-05-01,42,False,AR
2011-06-01,52,False,AR
2011-07-01,56,False,AR
2011-08-01,49,False,AR
2011-09-01,38,False,AR
2011-10-01,45,False,AR
2011-11-01,73,False,AR
2011-12-01,72,False,AR
2012-01-01,44,False,AR
2012-02-01,41,False,AR
2012-03-01,48,False,AR
2012-04-01,38,False,AR
2012-05-01,45,False,AR
2012-06-01,58,False,AR
2012-07-01,59,False,AR
2012-08-01,53,False,AR
2012-09-01,50,False,AR
2012-10-01,47,False,AR
2012-11-01,62,False,AR
2012-12-01,69,False,AR
2013-01-01,62,False,AR
2013-02-01,55,False,AR
2013-03-01,54,False,AR
2013-04-01,43,False,AR
2013-05-01,60,False,AR
2013-06-01,79,False,AR
2013-07-01,60,False,AR
2013-08-01,48,False,AR
2013-09-01,50,False,AR
2013-10-01,50,False,AR
2013-11-01,85,False,AR
2013-12-01,100,False,AR
2014-01-01,56,False,AR
2014-02-01,53,False,AR
2014-03-01,59,False,AR
2014-04-01,45,False,AR
2014-05-01,53,False,AR
2014-06-01,64,False,AR
2014-07-01,63,False,AR
2014-08-01,52,False,AR
2014-09-01,44,False,AR
2014-10-01,47,False,AR
2014-11-01,75,False,AR
2014-12-01,90,False,AR
2015-01-01,62,False,AR
2015-02-01,51,False,AR
2015-03-01,58,False,AR
2015-04-01,47,False,AR
2015-05-01,51,False,AR
2015-06-01,66,False,AR
2015-07-01,69,False,AR
2015-08-01,53,False,AR
2015-09-01,45,False,AR
2015-10-01,43,False,AR
2015-11-01,75,False,AR
2015-12-01,81,False,AR
2016-01-01,56,False,AR
2016-02-01,53,False,AR
2016-03-01,43,False,AR
2016-04-01,39,False,AR
2016-05-01,49,False,AR
2016-06-01,60,False,AR
2016-07-01,57,False,AR
2016-08-01,45,False,AR
2016-09-01,39,False,AR
2016-10-01,47,False,AR
2016-11-01,61,False,AR
2016-12-01,75,False,AR
2017-01-01,49,False,AR
2017-02-01,41,False,AR
2017-03-01,42,False,AR
2017-04-01,38,False,AR
2017-05-01,40,False,AR
2017-06-01,53,False,AR
2017-07-01,48,False,AR
2017-08-01,44,False,AR
2017-09-01,40,False,AR
2017-10-01,41,False,AR
2017-11-01,57,False,AR
2017-12-01,71,False,AR
2018-01-01,53,False,AR
2018-02-01,47,False,AR
2018-03-01,52,False,AR
2018-04-01,42,False,AR
2018-05-01,40,False,AR
2018-06-01,55,False,AR
2018-07-01,46,False,AR
2018-08-01,50,False,AR
2018-09-01,43,False,AR
2018-10-01,41,False,AR
2018-11-01,56,False,AR
2018-12-01,62,False,AR
2019-01-01,46,False,AR
2011-01-01,66,False,CA
2011-02-01,54,False,CA
2011-03-01,48,False,CA
2011-04-01,51,False,CA
2011-05-01,51,False,CA
2011-06-01,58,False,CA
2011-07-01,58,False,CA
2011-08-01,54,False,CA
2011-09-01,51,False,CA
2011-10-01,51,False,CA
2011-11-01,72,False,CA
2011-12-01,77,False,CA
2012-01-01,54,False,CA
2012-02-01,47,False,CA
2012-03-01,43,False,CA
2012-04-01,43,False,CA
2012-05-01,44,False,CA
2012-06-01,54,False,CA
2012-07-01,55,False,CA
2012-08-01,52,False,CA
2012-09-01,47,False,CA
2012-10-01,48,False,CA
2012-11-01,66,False,CA
2012-12-01,70,False,CA
2013-01-01,53,False,CA
2013-02-01,51,False,CA
2013-03-01,48,False,CA
2013-04-01,46,False,CA
2013-05-01,69,False,CA
2013-06-01,76,False,CA
2013-07-01,59,False,CA
2013-08-01,54,False,CA
2013-09-01,59,False,CA
2013-10-01,52,False,CA
2013-11-01,100,False,CA
2013-12-01,97,False,CA
2014-01-01,57,False,CA
