date,ebay,State
2015-06-14,66,AK
2015-06-21,72,AK
2015-06-28,76,AK
2015-07-05,85,AK
2015-07-12,58,AK
2015-07-19,76,AK
2015-07-26,79,AK
2015-08-02,74,AK
2015-08-09,68,AK
2015-08-16,75,AK
2015-08-23,77,AK
2015-08-30,80,AK
2015-09-06,50,AK
2015-09-13,87,AK
2015-09-20,61,AK
2015-09-27,64,AK
2015-10-04,81,AK
2015-10-11,84,AK
2015-10-18,52,AK
2015-10-25,62,AK
2015-11-01,69,AK
2015-11-08,75,AK
2015-11-15,81,AK
2015-11-22,74,AK
2015-11-29,54,AK
2015-12-06,52,AK
2015-12-13,63,AK
2015-12-20,60,AK
2015-12-27,72,AK
2016-01-03,65,AK
2016-01-10,40,AK
2016-01-17,54,AK
2016-01-24,60,AK
2016-01-31,66,AK
2016-02-07,63,AK
2016-02-14,62,AK
2016-02-21,50,AK
2016-02-28,51,AK
2016-03-06,46,AK
2016-03-13,59,AK
2016-03-20,48,AK
2016-03-27,46,AK
2016-04-03,74,AK
2016-04-10,70,AK
2016-04-17,77,AK
2016-04-24,55,AK
2016-05-01,61,AK
2016-05-08,40,AK
2016-05-15,63,AK
2016-05-22,45,AK
2016-05-29,58,AK
2016-06-05,49,AK
2016-06-12,49,AK
2016-06-19,81,AK
2016-06-26,58,AK
2016-07-03,55,AK
2016-07-10,94,AK
2016-07-17,73,AK
2016-07-24,38,AK
2016-07-31,64,AK
2016-08-07,49,AK
2016-08-14,48,AK
2016-08-21,61,AK
2016-08-28,52,AK
2016-09-04,56,AK
2016-09-11,66,AK
2016-09-18,55,AK
2016-09-25,78,AK
2016-10-02,64,AK
2016-10-09,56,AK
2016-10-16,62,AK
2016-10-23,67,AK
2016-10-30,53,AK
2016-11-06,44,AK
2016-11-13,56,AK
2016-11-20,69,AK
2016-11-27,56,AK
2016-12-04,57,AK
2016-12-11,49,AK
2016-12-18,50,AK
2016-12-25,48,AK
2017-01-01,51,AK
2017-01-08,51,AK
2017-01-15,39,AK
2017-01-22,31,AK
2017-01-29,49,AK
2017-02-05,53,AK
2017-02-12,57,AK
2017-02-19,47,AK
2017-02-26,45,AK
2017-03-05,35,AK
2017-03-12,59,AK
2017-03-19,71,AK
2017-03-26,50,AK
2017-04-02,39,AK
2017-04-09,30,AK
2017-04-16,44,AK
2017-04-23,71,AK
2017-04-30,46,AK
2017-05-07,59,AK
2017-05-14,59,AK
2017-05-21,47,AK
2017-05-28,41,AK
2017-06-04,27,AK
2017-06-11,54,AK
2017-06-18,49,AK
2017-06-25,39,AK
2017-07-02,50,AK
2017-07-09,50,AK
2017-07-16,59,AK
2017-07-23,45,AK
2017-07-30,68,AK
2017-08-06,47,AK
2017-08-13,62,AK
2017-08-20,62,AK
2017-08-27,54,AK
2017-09-03,53,AK
2017-09-10,38,AK
2017-09-17,37,AK
2017-09-24,43,AK
2017-10-01,62,AK
2017-10-08,81,AK
2017-10-15,38,AK
2017-10-22,73,AK
2017-10-29,61,AK
2017-11-05,55,AK
2017-11-12,33,AK
2017-11-19,61,AK
2017-11-26,63,AK
2017-12-03,54,AK
2017-12-10,59,AK
2017-12-17,28,AK
2017-12-24,48,AK
2017-12-31,47,AK
2018-01-07,50,AK
2018-01-14,47,AK
2018-01-21,38,AK
2018-01-28,46,AK
2018-02-04,50,AK
2018-02-11,69,AK
2018-02-18,53,AK
2018-02-25,38,AK
2018-03-04,59,AK
2018-03-11,38,AK
2018-03-18,55,AK
2018-03-25,57,AK
2018-04-01,55,AK
2018-04-08,47,AK
2018-04-15,48,AK
2018-04-22,43,AK
2018-04-29,62,AK
2018-05-06,61,AK
2018-05-13,39,AK
2018-05-20,43,AK
2018-05-27,34,AK
2018-06-03,51,AK
2018-06-10,42,AK
2018-06-17,34,AK
2018-06-24,64,AK
2018-07-01,59,AK
2018-07-08,48,AK
2018-07-15,33,AK
2018-07-22,51,AK
2018-07-29,46,AK
2018-08-05,39,AK
2018-08-12,39,AK
2018-08-19,25,AK
2018-08-26,55,AK
2018-09-02,36,AK
2018-09-09,44,AK
2018-09-16,29,AK
2018-09-23,49,AK
2018-09-30,41,AK
2018-10-07,41,AK
2018-10-14,40,AK
2018-10-21,42,AK
2018-10-28,41,AK
2018-11-04,39,AK
2018-11-11,53,AK
2018-11-18,29,AK
2018-11-25,49,AK
2018-12-02,43,AK
2018-12-09,60,AK
2018-12-16,59,AK
2018-12-23,38,AK
2018-12-30,51,AK
2015-01-04,100,AZ
2015-01-11,87,AZ
2015-01-18,88,AZ
2015-01-25,87,AZ
2015-02-01,73,AZ
2015-02-08,84,AZ
2015-02-15,85,AZ
2015-02-22,86,AZ
2015-03-01,91,AZ
2015-03-08,89,AZ
2015-03-15,92,AZ
2015-03-22,86,AZ
2015-03-29,89,AZ
2015-04-05,86,AZ
2015-04-12,89,AZ
2015-04-19,91,AZ
2015-04-26,88,AZ
2015-05-03,80,AZ
2015-05-10,81,AZ
2015-05-17,86,AZ
2015-05-24,93,AZ
2015-05-31,92,AZ
2015-06-07,91,AZ
2015-06-14,80,AZ
2015-06-21,89,AZ
2015-06-28,79,AZ
2015-07-05,83,AZ
2015-07-12,93,AZ
2015-07-19,93,AZ
2015-07-26,80,AZ
2015-08-02,79,AZ
2015-08-09,82,AZ
2015-08-16,90,AZ
2015-08-23,86,AZ
2015-08-30,83,AZ
2015-09-06,73,AZ
2015-09-13,74,AZ
2015-09-20,79,AZ
2015-09-27,76,AZ
2015-10-04,80,AZ
2015-10-11,79,AZ
2015-10-18,74,AZ
2015-10-25,77,AZ
2015-11-01,78,AZ
2015-11-08,84,AZ
2015-11-15,76,AZ
2015-11-22,87,AZ
2015-11-29,79,AZ
2015-12-06,89,AZ
2015-12-13,87,AZ
2015-12-20,84,AZ
2015-12-27,81,AZ
2016-01-03,69,AZ
2016-01-10,63,AZ
2016-01-17,65,AZ
2016-01-24,68,AZ
2016-01-31,67,AZ
2016-02-07,66,AZ
2016-02-14,70,AZ
2016-02-21,73,AZ
2016-02-28,68,AZ
2016-03-06,58,AZ
2016-03-13,66,AZ
2016-03-20,66,AZ
2016-03-27,63,AZ
2016-04-03,64,AZ
2016-04-10,67,AZ
2016-04-17,67,AZ
2016-04-24,73,AZ
2016-05-01,64,AZ
2016-05-08,61,AZ
2016-05-15,68,AZ
2016-05-22,60,AZ
2016-05-29,63,AZ
2016-06-05,63,AZ
2016-06-12,66,AZ
2016-06-19,59,AZ
2016-06-26,70,AZ
2016-07-03,63,AZ
2016-07-10,65,AZ
2016-07-17,67,AZ
2016-07-24,62,AZ
2016-07-31,62,AZ
2016-08-07,63,AZ
2016-08-14,64,AZ
2016-08-21,64,AZ
2016-08-28,60,AZ
2016-09-04,59,AZ
2016-09-11,57,AZ
2016-09-18,58,AZ
2016-09-25,61,AZ
2016-10-02,55,AZ
2016-10-09,57,AZ
2016-10-16,58,AZ
2016-10-23,57,AZ
2016-10-30,60,AZ
2016-11-06,59,AZ
2016-11-13,60,AZ
2016-11-20,68,AZ
2016-11-27,71,AZ
2016-12-04,62,AZ
2016-12-11,76,AZ
2016-12-18,61,AZ
2016-12-25,64,AZ
2017-01-01,58,AZ
2017-01-08,63,AZ
2017-01-15,57,AZ
2017-01-22,60,AZ
2017-01-29,61,AZ
2017-02-05,59,AZ
2017-02-12,56,AZ
2017-02-19,57,AZ
2017-02-26,58,AZ
2017-03-05,61,AZ
2017-03-12,59,AZ
2017-03-19,59,AZ
2017-03-26,62,AZ
2017-04-02,57,AZ
2017-04-09,61,AZ
2017-04-16,62,AZ
2017-04-23,60,AZ
2017-04-30,63,AZ
2017-05-07,61,AZ
2017-05-14,58,AZ
2017-05-21,55,AZ
2017-05-28,58,AZ
2017-06-04,59,AZ
2017-06-11,59,AZ
2017-06-18,55,AZ
2017-06-25,59,AZ
2017-07-02,54,AZ
2017-07-09,61,AZ
2017-07-16,57,AZ
2017-07-23,68,AZ
2017-07-30,59,AZ
2017-08-06,65,AZ
2017-08-13,58,AZ
2017-08-20,53,AZ
2017-08-27,60,AZ
2017-09-03,56,AZ
2017-09-10,62,AZ
2017-09-17,59,AZ
2017-09-24,61,AZ
2017-10-01,61,AZ
2017-10-08,57,AZ
2017-10-15,58,AZ
2017-10-22,58,AZ
2017-10-29,55,AZ
2017-11-05,59,AZ
2017-11-12,54,AZ
2017-11-19,63,AZ
2017-11-26,62,AZ
2017-12-03,65,AZ
2017-12-10,64,AZ
2017-12-17,56,AZ
2017-12-24,57,AZ
2017-12-31,52,AZ
2018-01-07,58,AZ
2018-01-14,61,AZ
2018-01-21,52,AZ
2018-01-28,53,AZ
2018-02-04,61,AZ
2018-02-11,58,AZ
2018-02-18,56,AZ
2018-02-25,54,AZ
2018-03-04,51,AZ
2018-03-11,53,AZ
2018-03-18,52,AZ
2018-03-25,47,AZ
2018-04-01,50,AZ
2018-04-08,44,AZ
2018-04-15,51,AZ
2018-04-22,46,AZ
2018-04-29,53,AZ
2018-05-06,48,AZ
2018-05-13,48,AZ
2018-05-20,47,AZ
2018-05-27,52,AZ
2018-06-03,51,AZ
2018-06-10,51,AZ
2018-06-17,52,AZ
2018-06-24,56,AZ
2018-07-01,54,AZ
2018-07-08,50,AZ
2018-07-15,48,AZ
2018-07-22,49,AZ
2018-07-29,46,AZ
2018-08-05,47,AZ
2018-08-12,45,AZ
2018-08-19,46,AZ
2018-08-26,44,AZ
2018-09-02,47,AZ
2018-09-09,42,AZ
2018-09-16,45,AZ
2018-09-23,45,AZ
2018-09-30,46,AZ
2018-10-07,48,AZ
2018-10-14,45,AZ
2018-10-21,44,AZ
2018-10-28,38,AZ
2018-11-04,44,AZ
2018-11-11,50,AZ
2018-11-18,49,AZ
2018-11-25,54,AZ
2018-12-02,46,AZ
2018-12-09,50,AZ
2018-12-16,49,AZ
2018-12-23,44,AZ
2018-12-30,46,AZ
2015-01-04,83,AR
2015-01-11,74,AR
2015-01-18,74,AR
2015-01-25,93,AR
2015-02-01,88,AR
2015-02-08,76,AR
2015-02-15,74,AR
2015-02-22,75,AR
2015-03-01,79,AR
2015-03-08,85,AR
2015-03-15,72,AR
2015-03-22,81,AR
2015-03-29,76,AR
2015-04-05,71,AR
2015-04-12,71,AR
2015-04-19,81,AR
2015-04-26,88,AR
2015-05-03,61,AR
2015-05-10,78,AR
2015-05-17,90,AR
2015-05-24,66,AR
2015-05-31,83,AR
2015-06-07,82,AR
2015-06-14,77,AR
2015-06-21,94,AR
2015-06-28,83,AR
2015-07-05,73,AR
2015-07-12,76,AR
2015-07-19,87,AR
2015-07-26,94,AR
2015-08-02,89,AR
2015-08-09,97,AR
2015-08-16,68,AR
2015-08-23,77,AR
2015-08-30,76,AR
2015-09-06,71,AR
2015-09-13,68,AR
2015-09-20,70,AR
2015-09-27,75,AR
2015-10-04,73,AR
2015-10-11,77,AR
2015-10-18,81,AR
2015-10-25,67,AR
2015-11-01,71,AR
2015-11-08,73,AR
2015-11-15,86,AR
2015-11-22,100,AR
2015-11-29,79,AR
2015-12-06,87,AR
2015-12-13,82,AR
2015-12-20,88,AR
2015-12-27,85,AR
2016-01-03,59,AR
2016-01-10,65,AR
2016-01-17,60,AR
2016-01-24,67,AR
2016-01-31,67,AR
2016-02-07,63,AR
2016-02-14,67,AR
2016-02-21,73,AR
2016-02-28,71,AR
2016-03-06,57,AR
2016-03-13,63,AR
2016-03-20,65,AR
2016-03-27,64,AR
2016-04-03,67,AR
2016-04-10,58,AR
2016-04-17,65,AR
2016-04-24,60,AR
2016-05-01,62,AR
2016-05-08,61,AR
2016-05-15,61,AR
2016-05-22,61,AR
2016-05-29,71,AR
2016-06-05,69,AR
2016-06-12,68,AR
2016-06-19,61,AR
2016-06-26,63,AR
2016-07-03,62,AR
2016-07-10,63,AR
2016-07-17,58,AR
2016-07-24,61,AR
2016-07-31,61,AR
2016-08-07,70,AR
2016-08-14,59,AR
2016-08-21,67,AR
2016-08-28,61,AR
2016-09-04,47,AR
