date,spider solitaire,isPartial,State
2015-01-04,17,False,AL
2015-01-11,32,False,AL
2015-01-18,25,False,AL
2015-01-25,8,False,AL
2015-02-01,24,False,AL
2015-02-08,16,False,AL
2015-02-15,16,False,AL
2015-02-22,8,False,AL
2015-03-01,16,False,AL
2015-03-08,16,False,AL
2015-03-15,26,False,AL
2015-03-22,10,False,AL
2015-03-29,9,False,AL
2015-04-05,0,False,AL
2015-04-12,100,False,AL
2015-04-19,9,False,AL
2015-04-26,35,False,AL
2015-05-03,0,False,AL
2015-05-10,19,False,AL
2015-05-17,40,False,AL
2015-05-24,30,False,AL
2015-05-31,30,False,AL
2015-06-07,49,False,AL
2015-06-14,10,False,AL
2015-06-21,28,False,AL
2015-06-28,46,False,AL
2015-07-05,53,False,AL
2015-07-12,26,False,AL
2015-07-19,62,False,AL
2015-07-26,18,False,AL
2015-08-02,18,False,AL
2015-08-09,26,False,AL
2015-08-16,47,False,AL
2015-08-23,23,False,AL
2015-08-30,8,False,AL
2015-09-06,8,False,AL
2015-09-13,8,False,AL
2015-09-20,22,False,AL
2015-09-27,29,False,AL
2015-10-04,15,False,AL
2015-10-11,31,False,AL
2015-10-18,0,False,AL
2015-10-25,8,False,AL
2015-11-01,7,False,AL
2015-11-08,30,False,AL
2015-11-15,37,False,AL
2015-11-22,9,False,AL
2015-11-29,21,False,AL
2015-12-06,7,False,AL
2015-12-13,8,False,AL
2015-12-20,9,False,AL
2015-12-27,0,False,AL
2016-01-03,10,False,AL
2016-01-10,35,False,AL
2016-01-17,15,False,AL
2016-01-24,25,False,AL
2016-01-31,10,False,AL
2016-02-07,5,False,AL
2016-02-14,10,False,AL
2016-02-21,19,False,AL
2016-02-28,14,False,AL
2016-03-06,10,False,AL
2016-03-13,5,False,AL
2016-03-20,0,False,AL
2016-03-27,25,False,AL
2016-04-03,20,False,AL
2016-04-10,15,False,AL
2016-04-17,10,False,AL
2016-04-24,15,False,AL
2016-05-01,25,False,AL
2016-05-08,5,False,AL
2016-05-15,11,False,AL
2016-05-22,16,False,AL
2016-05-29,16,False,AL
2016-06-05,37,False,AL
2016-06-12,16,False,AL
2016-06-19,11,False,AL
2016-06-26,11,False,AL
2016-07-03,28,False,AL
2016-07-10,26,False,AL
2016-07-17,11,False,AL
2016-07-24,26,False,AL
2016-07-31,32,False,AL
2016-08-07,16,False,AL
2016-08-14,22,False,AL
2016-08-21,26,False,AL
2016-08-28,49,False,AL
2016-09-04,20,False,AL
2016-09-11,19,False,AL
2016-09-18,33,False,AL
2016-09-25,10,False,AL
2016-10-02,19,False,AL
2016-10-09,20,False,AL
2016-10-16,10,False,AL
2016-10-23,20,False,AL
2016-10-30,19,False,AL
2016-11-06,14,False,AL
2016-11-13,19,False,AL
2016-11-20,10,False,AL
2016-11-27,27,False,AL
2016-12-04,13,False,AL
2016-12-11,19,False,AL
2016-12-18,26,False,AL
2016-12-25,15,False,AL
2017-01-01,28,False,AL
2017-01-08,9,False,AL
2017-01-15,44,False,AL
2017-01-22,18,False,AL
2017-01-29,13,False,AL
2017-02-05,17,False,AL
2017-02-12,13,False,AL
2017-02-19,13,False,AL
2017-02-26,4,False,AL
2017-03-05,25,False,AL
2017-03-12,26,False,AL
2017-03-19,9,False,AL
2017-03-26,18,False,AL
2017-04-02,9,False,AL
2017-04-09,5,False,AL
2017-04-16,4,False,AL
2017-04-23,13,False,AL
2017-04-30,26,False,AL
2017-05-07,27,False,AL
2017-05-14,10,False,AL
2017-05-21,29,False,AL
2017-05-28,0,False,AL
2017-06-04,19,False,AL
2017-06-11,5,False,AL
2017-06-18,27,False,AL
2017-06-25,15,False,AL
2017-07-02,5,False,AL
2017-07-09,15,False,AL
2017-07-16,24,False,AL
2017-07-23,14,False,AL
2017-07-30,32,False,AL
2017-08-06,18,False,AL
2017-08-13,9,False,AL
2017-08-20,18,False,AL
2017-08-27,17,False,AL
2017-09-03,22,False,AL
2017-09-10,4,False,AL
2017-09-17,8,False,AL
2017-09-24,30,False,AL
2017-10-01,13,False,AL
2017-10-08,17,False,AL
2017-10-15,13,False,AL
2017-10-22,13,False,AL
2017-10-29,13,False,AL
2017-11-05,21,False,AL
2017-11-12,17,False,AL
2017-11-19,13,False,AL
2017-11-26,16,False,AL
2017-12-03,16,False,AL
2017-12-10,21,False,AL
2017-12-17,22,False,AL
2017-12-24,9,False,AL
2017-12-31,21,False,AL
2018-01-07,20,False,AL
2018-01-14,28,False,AL
2018-01-21,24,False,AL
2018-01-28,20,False,AL
2018-02-04,19,False,AL
2018-02-11,19,False,AL
2018-02-18,31,False,AL
2018-02-25,8,False,AL
2018-03-04,24,False,AL
2018-03-11,16,False,AL
2018-03-18,16,False,AL
2018-03-25,4,False,AL
2018-04-01,12,False,AL
2018-04-08,38,False,AL
2018-04-15,21,False,AL
2018-04-22,20,False,AL
2018-04-29,21,False,AL
2018-05-06,34,False,AL
2018-05-13,13,False,AL
2018-05-20,13,False,AL
2018-05-27,27,False,AL
2018-06-03,4,False,AL
2018-06-10,34,False,AL
2018-06-17,31,False,AL
2018-06-24,13,False,AL
2018-07-01,32,False,AL
2018-07-08,29,False,AL
2018-07-15,13,False,AL
2018-07-22,9,False,AL
2018-07-29,9,False,AL
2018-08-05,13,False,AL
2018-08-12,17,False,AL
2018-08-19,17,False,AL
2018-08-26,16,False,AL
2018-09-02,29,False,AL
2018-09-09,20,False,AL
2018-09-16,37,False,AL
2018-09-23,29,False,AL
2018-09-30,17,False,AL
2018-10-07,8,False,AL
2018-10-14,30,False,AL
2018-10-21,8,False,AL
2018-10-28,8,False,AL
2018-11-04,27,False,AL
2018-11-11,29,False,AL
2018-11-18,18,False,AL
2018-11-25,4,False,AL
2018-12-02,20,False,AL
2018-12-09,8,False,AL
2018-12-16,22,False,AL
2018-12-23,23,False,AL
2018-12-30,22,False,AL
2015-01-04,41,False,AK
2015-01-11,40,False,AK
2015-01-18,0,False,AK
2015-01-25,39,False,AK
2015-02-01,0,False,AK
2015-02-08,39,False,AK
2015-02-15,39,False,AK
2015-02-22,0,False,AK
2015-03-01,0,False,AK
2015-03-08,39,False,AK
2015-03-15,0,False,AK
2015-03-22,0,False,AK
2015-03-29,38,False,AK
2015-04-05,38,False,AK
2015-04-12,0,False,AK
2015-04-19,0,False,AK
2015-04-26,0,False,AK
2015-05-03,0,False,AK
2015-05-10,41,False,AK
2015-05-17,42,False,AK
2015-05-24,87,False,AK
2015-05-31,0,False,AK
2015-06-07,41,False,AK
2015-06-14,42,False,AK
2015-06-21,0,False,AK
2015-06-28,0,False,AK
2015-07-05,0,False,AK
2015-07-12,0,False,AK
2015-07-19,83,False,AK
2015-07-26,0,False,AK
2015-08-02,40,False,AK
2015-08-09,39,False,AK
2015-08-16,39,False,AK
2015-08-23,75,False,AK
2015-08-30,0,False,AK
2015-09-06,0,False,AK
2015-09-13,0,False,AK
2015-09-20,37,False,AK
2015-09-27,36,False,AK
2015-10-04,37,False,AK
2015-10-11,0,False,AK
2015-10-18,73,False,AK
2015-10-25,37,False,AK
2015-11-01,74,False,AK
2015-11-08,0,False,AK
2015-11-15,0,False,AK
2015-11-22,0,False,AK
2015-11-29,71,False,AK
2015-12-06,71,False,AK
2015-12-13,0,False,AK
2015-12-20,86,False,AK
2015-12-27,40,False,AK
2016-01-03,0,False,AK
2016-01-10,0,False,AK
2016-01-17,36,False,AK
2016-01-24,34,False,AK
2016-01-31,0,False,AK
2016-02-07,34,False,AK
2016-02-14,35,False,AK
2016-02-21,34,False,AK
