,flights,date,bus,state
0,36.526638146667615,2004-01-01,51.177878558830955,AL
1,21.64541519802525,2004-02-01,43.30435878054927,AL
2,56.819214894816284,2004-03-01,0.0,AL
3,20.292576748148672,2004-04-01,48.553371966070394,AL
4,47.34934574568024,2004-05-01,47.24111866969011,AL
5,25.703930547654984,2004-06-01,39.36759889140843,AL
6,13.528384498765782,2004-07-01,32.80633240950702,AL
7,12.175546048889204,2004-08-01,47.24111866969011,AL
8,0.0,2004-09-01,28.86957252036618,AL
9,17.586899848395515,2004-10-01,30.18182581674646,AL
10,6.764192249382891,2004-11-01,30.18182581674646,AL
11,21.64541519802525,2004-12-01,49.86562526245067,AL
12,24.35109209777841,2005-01-01,23.620559334845055,AL
13,29.76244589728472,2005-02-01,39.36759889140843,AL
14,39.232315046420766,2005-03-01,26.24506592760562,AL
15,24.35109209777841,2005-04-01,52.49013185521124,AL
16,13.528384498765782,2005-05-01,59.05139833711264,AL
17,21.64541519802525,2005-06-01,53.802385151591515,AL
18,39.232315046420766,2005-07-01,30.18182581674646,AL
19,20.292576748148672,2005-08-01,64.30041152263377,AL
20,21.64541519802525,2005-09-01,28.86957252036618,AL
21,32.46812279703788,2005-10-01,20.996052742084494,AL
22,28.409607447408142,2005-11-01,24.932812631225335,AL
23,6.764192249382891,2005-12-01,14.43478626018309,AL
24,27.056768997531563,2006-01-01,34.118585705887305,AL
25,24.35109209777841,2006-02-01,34.118585705887305,AL
26,10.822707599012626,2006-03-01,28.86957252036618,AL
27,29.76244589728472,2006-04-01,38.05534559502814,AL
28,20.292576748148672,2006-05-01,31.49407911312674,AL
29,24.35109209777841,2006-06-01,23.620559334845055,AL
30,31.115284347161296,2006-07-01,34.118585705887305,AL
31,37.87947659654419,2006-08-01,30.18182581674646,AL
32,20.292576748148672,2006-09-01,30.18182581674646,AL
33,25.703930547654984,2006-10-01,35.43083900226758,AL
34,40.585153496297345,2006-11-01,53.802385151591515,AL
35,16.23406139851894,2006-12-01,30.18182581674646,AL
36,20.292576748148672,2007-01-01,30.18182581674646,AL
37,24.35109209777841,2007-02-01,32.80633240950702,AL
38,32.46812279703788,2007-03-01,39.36759889140843,AL
39,27.056768997531563,2007-04-01,22.308306038464774,AL
40,25.703930547654984,2007-05-01,36.743092298647866,AL
41,37.87947659654419,2007-06-01,38.05534559502814,AL
42,29.76244589728472,2007-07-01,35.43083900226758,AL
43,36.526638146667615,2007-08-01,56.426891744352076,AL
44,31.115284347161296,2007-09-01,44.61661207692955,AL
45,28.409607447408142,2007-10-01,31.49407911312674,AL
46,24.35109209777841,2007-11-01,27.557319223985896,AL
47,25.703930547654984,2007-12-01,30.18182581674646,AL
48,39.232315046420766,2008-01-01,22.308306038464774,AL
49,22.998253647901826,2008-02-01,47.24111866969011,AL
50,35.17379969679103,2008-03-01,40.679852187788704,AL
51,37.87947659654419,2008-04-01,43.30435878054927,AL
52,18.939738298272093,2008-05-01,51.177878558830955,AL
53,20.292576748148672,2008-06-01,49.86562526245067,AL
54,29.76244589728472,2008-07-01,32.80633240950702,AL
55,20.292576748148672,2008-08-01,45.928865373309826,AL
56,24.35109209777841,2008-09-01,36.743092298647866,AL
57,36.526638146667615,2008-10-01,30.18182581674646,AL
58,29.76244589728472,2008-11-01,38.05534559502814,AL
59,45.99650729580365,2008-12-01,30.18182581674646,AL
60,39.232315046420766,2009-01-01,31.49407911312674,AL
61,21.64541519802525,2009-02-01,43.30435878054927,AL
62,44.64366884592708,2009-03-01,35.43083900226758,AL
63,54.113537995063126,2009-04-01,34.118585705887305,AL
64,52.760699545186554,2009-05-01,45.928865373309826,AL
65,59.52489179456944,2009-06-01,34.118585705887305,AL
66,58.17205334469286,2009-07-01,30.18182581674646,AL
67,32.46812279703788,2009-08-01,47.24111866969011,AL
68,48.70218419555682,2009-09-01,28.86957252036618,AL
69,44.64366884592708,2009-10-01,43.30435878054927,AL
70,43.2908303960505,2009-11-01,28.86957252036618,AL
71,41.93799194617392,2009-12-01,32.80633240950702,AL
72,41.93799194617392,2010-01-01,30.18182581674646,AL
73,47.34934574568024,2010-02-01,27.557319223985896,AL
74,58.17205334469286,2010-03-01,30.18182581674646,AL
75,63.58340714419918,2010-04-01,35.43083900226758,AL
76,47.34934574568024,2010-05-01,35.43083900226758,AL
77,64.93624559407576,2010-06-01,30.18182581674646,AL
78,55.466376444939705,2010-07-01,36.743092298647866,AL
79,36.526638146667615,2010-08-01,40.679852187788704,AL
80,51.40786109530997,2010-09-01,23.620559334845055,AL
81,52.760699545186554,2010-10-01,52.49013185521124,AL
82,45.99650729580365,2010-11-01,41.99210548416899,AL
83,54.113537995063126,2010-12-01,35.43083900226758,AL
84,52.760699545186554,2011-01-01,35.43083900226758,AL
85,59.52489179456944,2011-02-01,34.118585705887305,AL
86,55.466376444939705,2011-03-01,35.43083900226758,AL
87,39.232315046420766,2011-04-01,31.49407911312674,AL
88,59.52489179456944,2011-05-01,38.05534559502814,AL
89,66.28908404395233,2011-06-01,32.80633240950702,AL
90,56.819214894816284,2011-07-01,32.80633240950702,AL
91,48.70218419555682,2011-08-01,38.05534559502814,AL
92,48.70218419555682,2011-09-01,38.05534559502814,AL
93,39.232315046420766,2011-10-01,35.43083900226758,AL
94,44.64366884592708,2011-11-01,38.05534559502814,AL
95,37.87947659654419,2011-12-01,32.80633240950702,AL
96,47.34934574568024,2012-01-01,31.49407911312674,AL
97,44.64366884592708,2012-02-01,34.118585705887305,AL
98,41.93799194617392,2012-03-01,30.18182581674646,AL
