date,indeed,isPartial,State
2018-10-28,63,False,AL
2018-11-04,77,False,AL
2018-11-11,76,False,AL
2018-11-18,57,False,AL
2018-11-25,74,False,AL
2018-12-02,69,False,AL
2018-12-09,71,False,AL
2018-12-16,71,False,AL
2018-12-23,61,False,AL
2018-12-30,66,False,AL
2015-01-04,39,False,AK
2015-01-11,38,False,AK
2015-01-18,39,False,AK
2015-01-25,47,False,AK
2015-02-01,56,False,AK
2015-02-08,48,False,AK
2015-02-15,9,False,AK
2015-02-22,28,False,AK
2015-03-01,9,False,AK
2015-03-08,29,False,AK
2015-03-15,19,False,AK
2015-03-22,42,False,AK
2015-03-29,67,False,AK
2015-04-05,19,False,AK
2015-04-12,18,False,AK
2015-04-19,28,False,AK
2015-04-26,29,False,AK
2015-05-03,48,False,AK
2015-05-10,60,False,AK
2015-05-17,21,False,AK
2015-05-24,53,False,AK
2015-05-31,30,False,AK
2015-06-07,20,False,AK
2015-06-14,20,False,AK
2015-06-21,30,False,AK
2015-06-28,30,False,AK
2015-07-05,58,False,AK
2015-07-12,47,False,AK
2015-07-19,20,False,AK
2015-07-26,39,False,AK
2015-08-02,29,False,AK
2015-08-09,29,False,AK
2015-08-16,28,False,AK
2015-08-23,9,False,AK
2015-08-30,37,False,AK
2015-09-06,37,False,AK
2015-09-13,36,False,AK
2015-09-20,27,False,AK
2015-09-27,26,False,AK
2015-10-04,44,False,AK
2015-10-11,35,False,AK
2015-10-18,18,False,AK
2015-10-25,46,False,AK
2015-11-01,27,False,AK
2015-11-08,27,False,AK
2015-11-15,61,False,AK
2015-11-22,47,False,AK
2015-11-29,52,False,AK
2015-12-06,26,False,AK
2015-12-13,36,False,AK
2015-12-20,52,False,AK
2015-12-27,87,False,AK
2016-01-03,43,False,AK
2016-01-10,68,False,AK
2016-01-17,51,False,AK
2016-01-24,83,False,AK
2016-01-31,42,False,AK
2016-02-07,33,False,AK
2016-02-14,43,False,AK
2016-02-21,76,False,AK
2016-02-28,57,False,AK
2016-03-06,74,False,AK
