date,jobs,isPartial,State
2013-08-01,78,False,AZ
2013-09-01,72,False,AZ
2013-10-01,67,False,AZ
2013-11-01,60,False,AZ
2013-12-01,56,False,AZ
2014-01-01,71,False,AZ
2014-02-01,62,False,AZ
2014-03-01,66,False,AZ
2014-04-01,68,False,AZ
2014-05-01,72,False,AZ
2014-06-01,76,False,AZ
2014-07-01,79,False,AZ
2014-08-01,76,False,AZ
2014-09-01,71,False,AZ
2014-10-01,67,False,AZ
2014-11-01,58,False,AZ
2014-12-01,57,False,AZ
2015-01-01,69,False,AZ
2015-02-01,63,False,AZ
2015-03-01,64,False,AZ
2015-04-01,67,False,AZ
2015-05-01,70,False,AZ
2015-06-01,77,False,AZ
2015-07-01,78,False,AZ
2015-08-01,75,False,AZ
2015-09-01,71,False,AZ
2015-10-01,69,False,AZ
2015-11-01,58,False,AZ
2015-12-01,53,False,AZ
2016-01-01,67,False,AZ
2016-02-01,59,False,AZ
2016-03-01,62,False,AZ
2016-04-01,63,False,AZ
2016-05-01,69,False,AZ
2016-06-01,72,False,AZ
2016-07-01,70,False,AZ
2016-08-01,72,False,AZ
2016-09-01,65,False,AZ
2016-10-01,61,False,AZ
2016-11-01,55,False,AZ
2016-12-01,53,False,AZ
2017-01-01,66,False,AZ
2017-02-01,63,False,AZ
2017-03-01,65,False,AZ
2017-04-01,66,False,AZ
2017-05-01,68,False,AZ
2017-06-01,70,False,AZ
2017-07-01,77,False,AZ
2017-08-01,72,False,AZ
2017-09-01,67,False,AZ
2017-10-01,66,False,AZ
2017-11-01,58,False,AZ
2017-12-01,54,False,AZ
2018-01-01,72,False,AZ
2018-02-01,62,False,AZ
2018-03-01,62,False,AZ
2018-04-01,65,False,AZ
2018-05-01,75,False,AZ
2018-06-01,77,False,AZ
2018-07-01,76,False,AZ
2018-08-01,79,False,AZ
2018-09-01,71,False,AZ
2018-10-01,70,False,AZ
2018-11-01,62,False,AZ
2018-12-01,57,False,AZ
2019-01-01,73,False,AZ
2011-01-01,86,False,AR
2011-02-01,74,False,AR
2011-03-01,72,False,AR
2011-04-01,66,False,AR
2011-05-01,88,False,AR
2011-06-01,78,False,AR
2011-07-01,87,False,AR
2011-08-01,90,False,AR
2011-09-01,83,False,AR
2011-10-01,100,False,AR
2011-11-01,74,False,AR
2011-12-01,62,False,AR
2012-01-01,84,False,AR
2012-02-01,67,False,AR
2012-03-01,70,False,AR
2012-04-01,79,False,AR
2012-05-01,81,False,AR
2012-06-01,85,False,AR
2012-07-01,83,False,AR
2012-08-01,89,False,AR
2012-09-01,77,False,AR
2012-10-01,79,False,AR
2012-11-01,68,False,AR
2012-12-01,51,False,AR
2013-01-01,80,False,AR
2013-02-01,67,False,AR
2013-03-01,67,False,AR
2013-04-01,78,False,AR
2013-05-01,81,False,AR
2013-06-01,80,False,AR
2013-07-01,88,False,AR
2013-08-01,82,False,AR
2013-09-01,78,False,AR
2013-10-01,71,False,AR
2013-11-01,67,False,AR
2013-12-01,65,False,AR
2014-01-01,84,False,AR
2014-02-01,64,False,AR
2014-03-01,68,False,AR
2014-04-01,74,False,AR
2014-05-01,81,False,AR
2014-06-01,86,False,AR
2014-07-01,86,False,AR
2014-08-01,76,False,AR
2014-09-01,74,False,AR
2014-10-01,69,False,AR
2014-11-01,63,False,AR
2014-12-01,60,False,AR
2015-01-01,71,False,AR
2015-02-01,68,False,AR
2015-03-01,66,False,AR
2015-04-01,69,False,AR
2015-05-01,81,False,AR
2015-06-01,74,False,AR
2015-07-01,80,False,AR
2015-08-01,79,False,AR
2015-09-01,69,False,AR
2015-10-01,67,False,AR
2015-11-01,65,False,AR
2015-12-01,58,False,AR
2016-01-01,73,False,AR
2016-02-01,67,False,AR
2016-03-01,69,False,AR
2016-04-01,71,False,AR
2016-05-01,76,False,AR
2016-06-01,75,False,AR
2016-07-01,81,False,AR
2016-08-01,77,False,AR
2016-09-01,66,False,AR
2016-10-01,68,False,AR
2016-11-01,62,False,AR
2016-12-01,58,False,AR
2017-01-01,72,False,AR
2017-02-01,68,False,AR
2017-03-01,66,False,AR
2017-04-01,70,False,AR
2017-05-01,82,False,AR
2017-06-01,81,False,AR
2017-07-01,79,False,AR
2017-08-01,78,False,AR
2017-09-01,72,False,AR
2017-10-01,69,False,AR
2017-11-01,64,False,AR
2017-12-01,58,False,AR
2018-01-01,76,False,AR
2018-02-01,64,False,AR
2018-03-01,68,False,AR
2018-04-01,78,False,AR
2018-05-01,76,False,AR
2018-06-01,79,False,AR
2018-07-01,84,False,AR
2018-08-01,84,False,AR
2018-09-01,73,False,AR
2018-10-01,68,False,AR
2018-11-01,67,False,AR
2018-12-01,62,False,AR
2019-01-01,82,False,AR
2011-01-01,65,False,CA
2011-02-01,60,False,CA
2011-03-01,58,False,CA
2011-04-01,59,False,CA
2011-05-01,60,False,CA
2011-06-01,64,False,CA
2011-07-01,61,False,CA
2011-08-01,69,False,CA
2011-09-01,61,False,CA
2011-10-01,100,False,CA
2011-11-01,55,False,CA
2011-12-01,46,False,CA
2012-01-01,58,False,CA
2012-02-01,54,False,CA
2012-03-01,53,False,CA
2012-04-01,55,False,CA
2012-05-01,57,False,CA
2012-06-01,60,False,CA
2012-07-01,60,False,CA
2012-08-01,60,False,CA
2012-09-01,59,False,CA
2012-10-01,57,False,CA
2012-11-01,51,False,CA
2012-12-01,44,False,CA
2013-01-01,60,False,CA
2013-02-01,55,False,CA
2013-03-01,55,False,CA
2013-04-01,59,False,CA
2013-05-01,58,False,CA
2013-06-01,60,False,CA
2013-07-01,61,False,CA
2013-08-01,65,False,CA
2013-09-01,62,False,CA
2013-10-01,58,False,CA
2013-11-01,53,False,CA
2013-12-01,49,False,CA
2014-01-01,65,False,CA
2014-02-01,57,False,CA
2014-03-01,58,False,CA
2014-04-01,58,False,CA
2014-05-01,60,False,CA
2014-06-01,63,False,CA
2014-07-01,65,False,CA
2014-08-01,62,False,CA
2014-09-01,63,False,CA
2014-10-01,61,False,CA
2014-11-01,51,False,CA
2014-12-01,48,False,CA
2015-01-01,60,False,CA
2015-02-01,56,False,CA
2015-03-01,57,False,CA
2015-04-01,60,False,CA
2015-05-01,61,False,CA
2015-06-01,63,False,CA
2015-07-01,61,False,CA
2015-08-01,64,False,CA
2015-09-01,61,False,CA
2015-10-01,61,False,CA
2015-11-01,49,False,CA
2015-12-01,47,False,CA
2016-01-01,59,False,CA
2016-02-01,57,False,CA
2016-03-01,57,False,CA
2016-04-01,56,False,CA
2016-05-01,56,False,CA
2016-06-01,59,False,CA
2016-07-01,57,False,CA
2016-08-01,60,False,CA
2016-09-01,57,False,CA
2016-10-01,53,False,CA
2016-11-01,49,False,CA
2016-12-01,45,False,CA
2017-01-01,56,False,CA
2017-02-01,54,False,CA
2017-03-01,56,False,CA
2017-04-01,56,False,CA
2017-05-01,56,False,CA
2017-06-01,59,False,CA
2017-07-01,58,False,CA
2017-08-01,62,False,CA
2017-09-01,58,False,CA
2017-10-01,58,False,CA
2017-11-01,53,False,CA
2017-12-01,47,False,CA
2018-01-01,62,False,CA
2018-02-01,58,False,CA
2018-03-01,59,False,CA
2018-04-01,60,False,CA
2018-05-01,60,False,CA
2018-06-01,64,False,CA
2018-07-01,62,False,CA
2018-08-01,67,False,CA
2018-09-01,61,False,CA
2018-10-01,60,False,CA
2018-11-01,55,False,CA
2018-12-01,50,False,CA
2019-01-01,66,False,CA
2011-01-01,82,False,CO
2011-02-01,64,False,CO
2011-03-01,72,False,CO
2011-04-01,71,False,CO
2011-05-01,74,False,CO
2011-06-01,76,False,CO
2011-07-01,78,False,CO
2011-08-01,79,False,CO
2011-09-01,75,False,CO
2011-10-01,100,False,CO
2011-11-01,69,False,CO
2011-12-01,60,False,CO
2012-01-01,72,False,CO
2012-02-01,69,False,CO
2012-03-01,66,False,CO
2012-04-01,71,False,CO
2012-05-01,74,False,CO
2012-06-01,69,False,CO
2012-07-01,69,False,CO
2012-08-01,69,False,CO
2012-09-01,66,False,CO
2012-10-01,65,False,CO
2012-11-01,58,False,CO
2012-12-01,54,False,CO
2013-01-01,72,False,CO
2013-02-01,68,False,CO
2013-03-01,66,False,CO
2013-04-01,67,False,CO
2013-05-01,69,False,CO
2013-06-01,68,False,CO
2013-07-01,74,False,CO
2013-08-01,76,False,CO
2013-09-01,63,False,CO
2013-10-01,62,False,CO
2013-11-01,62,False,CO
2013-12-01,53,False,CO
2014-01-01,71,False,CO
2014-02-01,64,False,CO
2014-03-01,66,False,CO
2014-04-01,72,False,CO
2014-05-01,66,False,CO
2014-06-01,68,False,CO
2014-07-01,68,False,CO
2014-08-01,66,False,CO
2014-09-01,63,False,CO
2014-10-01,63,False,CO
2014-11-01,56,False,CO
2014-12-01,59,False,CO
2015-01-01,68,False,CO
2015-02-01,64,False,CO
2015-03-01,68,False,CO
2015-04-01,68,False,CO
2015-05-01,68,False,CO
2015-06-01,73,False,CO
2015-07-01,71,False,CO
2015-08-01,71,False,CO
2015-09-01,65,False,CO
2015-10-01,65,False,CO
2015-11-01,60,False,CO
2015-12-01,56,False,CO
2016-01-01,68,False,CO
2016-02-01,65,False,CO
2016-03-01,67,False,CO
2016-04-01,67,False,CO
2016-05-01,70,False,CO
2016-06-01,70,False,CO
2016-07-01,65,False,CO
2016-08-01,65,False,CO
2016-09-01,61,False,CO
2016-10-01,61,False,CO
2016-11-01,59,False,CO
2016-12-01,55,False,CO
2017-01-01,70,False,CO
2017-02-01,66,False,CO
2017-03-01,66,False,CO
2017-04-01,66,False,CO
2017-05-01,66,False,CO
2017-06-01,67,False,CO
2017-07-01,67,False,CO
2017-08-01,68,False,CO
2017-09-01,62,False,CO
2017-10-01,66,False,CO
2017-11-01,62,False,CO
2017-12-01,55,False,CO
