,flights,date,bus,pornhub,solitaire,free apps,guitar scales,jobs near me,job openings,state
0,24.88756251755705,20040101,4.6923076923076925,0.0,1.5833333333333333,0.0,0.0,0.0,1.5555555555555556,AL
1,47.512619351699826,20040201,4.538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,AL
2,63.35015913559977,20040301,2.0,0.0,0.0,0.0,0.0,0.0,0.0,AL
3,47.512619351699826,20040401,6.615384615384615,0.0,1.5,0.0,0.0,0.0,0.7222222222222222,AL
4,56.56264208535693,20040501,7.6923076923076925,0.0,0.7083333333333334,0.0,0.0,0.0,2.7777777777777777,AL
5,65.61266481901404,20040601,6.769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,AL
6,11.312528417071388,20040701,4.153846153846154,0.0,0.7083333333333334,0.6888888888888889,0.7,0.0,0.0,AL
7,20.362551150728496,20040801,1.2307692307692308,0.0,1.25,0.0,0.0,0.0,0.0,AL
8,9.050022733657109,20040901,2.4615384615384617,0.0,1.25,0.0,0.61,0.0,0.6111111111111112,AL
9,9.050022733657109,20041001,4.3076923076923075,0.0,1.25,0.0,0.0,0.0,0.6111111111111112,AL
10,9.050022733657109,20041101,6.384615384615385,0.0,1.9166666666666667,0.0,0.0,0.0,0.0,AL
11,18.100045467314217,20041201,4.076923076923077,0.0,1.7916666666666667,0.0,0.0,0.0,0.5833333333333334,AL
12,31.675079567799884,20050101,1.4615384615384615,0.0,0.0,0.0,0.0,0.0,1.0,AL
13,40.72510230145699,20050201,4.076923076923077,0.0,0.5,0.0,0.0,0.0,0.5,AL
14,65.61266481901404,20050301,5.0,0.0,1.375,0.0,0.0,0.0,1.3611111111111112,AL
15,15.837539783899942,20050401,5.0,0.0,1.5416666666666667,0.0,0.51,0.0,0.5,AL
16,38.46259661804271,20050501,3.3076923076923075,0.0,0.9583333333333334,0.4666666666666667,0.0,0.0,0.9444444444444444,AL
17,45.25011366828555,20050601,4.6923076923076925,0.0,1.9166666666666667,0.0,0.47,0.0,0.9166666666666666,AL
18,13.575034100485665,20050701,3.230769230769231,0.0,0.4583333333333333,0.0,0.0,0.0,0.9166666666666666,AL
19,33.93758525121416,20050801,5.538461538461538,0.0,1.75,0.0,0.43,0.0,0.8333333333333334,AL
20,49.7751250351141,20050901,3.1538461538461537,0.0,1.5833333333333333,0.0,0.0,0.0,0.7777777777777778,AL
21,29.412573884385605,20051001,3.6923076923076925,0.0,0.375,0.0,0.37,0.0,0.7222222222222222,AL
22,36.200090934628435,20051101,3.769230769230769,0.0,0.375,0.0,0.0,0.0,1.1111111111111112,AL
23,47.512619351699826,20051201,3.3076923076923075,0.0,0.375,0.0,0.0,0.0,1.1111111111111112,AL
24,40.72510230145699,20060101,5.153846153846154,0.0,1.0,0.0,0.0,0.0,0.6388888888888888,AL
25,56.56264208535693,20060201,2.3076923076923075,0.0,0.6666666666666666,0.0,0.0,0.0,0.9722222222222222,AL
26,18.100045467314217,20060301,3.6153846153846154,0.0,0.625,0.0,0.3,0.0,1.1944444444444444,AL
27,58.82514776877121,20060401,3.6923076923076925,0.0,1.5833333333333333,0.0,0.62,0.0,2.138888888888889,AL
28,24.88756251755705,20060501,4.153846153846154,0.0,0.625,0.0,0.0,0.0,2.0833333333333335,AL
29,65.61266481901404,20060601,3.769230769230769,0.0,0.9583333333333334,0.0,0.32,0.0,1.25,AL
30,79.18769891949971,20060701,5.0,0.0,0.2916666666666667,0.0,0.0,0.0,0.3055555555555556,AL
31,47.512619351699826,20060801,4.0,0.0,0.7916666666666666,0.0,0.0,0.0,1.8333333333333333,AL
32,29.412573884385605,20060901,2.6153846153846154,0.0,1.0833333333333333,0.0,0.0,0.0,0.7777777777777778,AL
33,27.15006820097133,20061001,4.461538461538462,0.0,1.75,0.0,0.0,0.0,0.5,AL
34,61.087653452185485,20061101,6.461538461538462,0.0,0.5,0.0,0.0,0.0,1.0,AL
35,27.15006820097133,20061201,2.6923076923076925,0.0,1.25,0.0,0.0,0.0,0.75,AL
36,29.412573884385605,20070101,4.0,0.0,1.5,0.0,0.0,0.0,0.6388888888888888,AL
37,58.82514776877121,20070201,3.4615384615384617,0.0,2.0,0.0,0.22,0.0,0.6388888888888888,AL
38,67.87517050242832,20070301,4.461538461538462,0.0,0.625,0.0,0.2,0.0,0.6111111111111112,AL
39,45.25011366828555,20070401,3.0,0.0,0.7916666666666666,0.0,0.0,0.0,0.3888888888888889,AL
40,54.30013640194266,20070501,3.6153846153846154,0.0,0.7916666666666666,0.0,0.0,0.0,0.9444444444444444,AL
41,76.92519323608542,20070601,4.384615384615385,0.0,0.625,0.2,0.0,0.0,1.0,AL
42,58.82514776877121,20070701,3.6923076923076925,0.0,1.125,0.0,0.0,0.0,0.3611111111111111,AL
43,38.46259661804271,20070801,5.923076923076923,0.0,1.4166666666666667,0.0,0.0,0.0,1.3611111111111112,AL
44,49.7751250351141,20070901,3.230769230769231,0.0,0.9166666666666666,0.0,0.18,0.0,0.8888888888888888,AL
45,36.200090934628435,20071001,3.3076923076923075,0.0,0.5,0.15555555555555556,0.34,0.0,0.6666666666666666,AL
46,47.512619351699826,20071101,3.3846153846153846,11.929575421638917,1.7083333333333333,0.0,0.0,0.0,0.3333333333333333,AL
47,45.25011366828555,20071201,2.8461538461538463,11.929575421638917,1.2916666666666667,0.0,0.0,0.0,0.5277777777777778,AL
48,74.66268755267116,20080101,4.076923076923077,17.894363132458373,1.125,0.0,0.32,0.0,0.9444444444444444,AL
