date,resume,isPartial,State
2015-05-10,42,False,AK
2015-05-17,18,False,AK
2015-05-24,27,False,AK
2015-05-31,51,False,AK
2015-06-07,17,False,AK
2015-06-14,26,False,AK
2015-06-21,100,False,AK
2015-06-28,17,False,AK
2015-07-05,17,False,AK
2015-07-12,41,False,AK
2015-07-19,34,False,AK
2015-07-26,48,False,AK
2015-08-02,50,False,AK
2015-08-09,41,False,AK
2015-08-16,32,False,AK
2015-08-23,23,False,AK
2015-08-30,16,False,AK
2015-09-06,24,False,AK
2015-09-13,15,False,AK
2015-09-20,38,False,AK
2015-09-27,23,False,AK
2015-10-04,46,False,AK
2015-10-11,38,False,AK
2015-10-18,8,False,AK
2015-10-25,54,False,AK
2015-11-01,31,False,AK
2015-11-08,46,False,AK
2015-11-15,37,False,AK
2015-11-22,16,False,AK
2015-11-29,59,False,AK
2015-12-06,45,False,AK
2015-12-13,39,False,AK
2015-12-20,0,False,AK
2015-12-27,8,False,AK
2016-01-03,37,False,AK
2016-01-10,21,False,AK
2016-01-17,15,False,AK
2016-01-24,29,False,AK
2016-01-31,43,False,AK
2016-02-07,35,False,AK
2016-02-14,22,False,AK
2016-02-21,36,False,AK
2016-02-28,28,False,AK
2016-03-06,50,False,AK
2016-03-13,7,False,AK
2016-03-20,36,False,AK
2016-03-27,28,False,AK
2016-04-03,28,False,AK
2016-04-10,42,False,AK
2016-04-17,35,False,AK
2016-04-24,35,False,AK
2016-05-01,21,False,AK
2016-05-08,29,False,AK
2016-05-15,44,False,AK
2016-05-22,23,False,AK
2016-05-29,16,False,AK
2016-06-05,14,False,AK
2016-06-12,15,False,AK
2016-06-19,29,False,AK
2016-06-26,44,False,AK
2016-07-03,7,False,AK
2016-07-10,29,False,AK
2016-07-17,29,False,AK
2016-07-24,21,False,AK
2016-07-31,35,False,AK
2016-08-07,7,False,AK
2016-08-14,22,False,AK
2016-08-21,15,False,AK
2016-08-28,29,False,AK
2016-09-04,21,False,AK
2016-09-11,20,False,AK
2016-09-18,21,False,AK
2016-09-25,35,False,AK
2016-10-02,28,False,AK
2016-10-09,57,False,AK
2016-10-16,22,False,AK
2016-10-23,29,False,AK
2016-10-30,22,False,AK
2016-11-06,54,False,AK
2016-11-13,7,False,AK
2016-11-20,29,False,AK
2016-11-27,21,False,AK
2016-12-04,34,False,AK
2016-12-11,14,False,AK
2016-12-18,15,False,AK
