date,resume template,isPartial,State
2017-12-01,11.0,False,DC
2018-01-01,20.0,False,DC
2018-02-01,10.0,False,DC
2018-03-01,59.0,False,DC
2018-04-01,9.0,False,DC
2018-05-01,18.0,False,DC
2018-06-01,18.0,False,DC
2018-07-01,54.0,False,DC
2018-08-01,28.0,False,DC
2018-09-01,55.0,False,DC
2018-10-01,41.0,False,DC
2018-11-01,9.0,False,DC
2018-12-01,19.0,False,DC
2019-01-01,9.0,False,DC
2011-01-01,38.0,False,DE
2011-02-01,20.0,False,DE
2011-03-01,36.0,False,DE
2011-04-01,58.0,False,DE
2011-05-01,37.0,False,DE
2011-06-01,21.0,False,DE
2011-07-01,40.0,False,DE
2011-08-01,0.0,False,DE
2011-09-01,37.0,False,DE
2011-10-01,18.0,False,DE
2011-11-01,71.0,False,DE
2011-12-01,0.0,False,DE
2012-01-01,82.0,False,DE
2012-02-01,83.0,False,DE
2012-03-01,33.0,False,DE
2012-04-01,0.0,False,DE
2012-05-01,49.0,False,DE
2012-06-01,35.0,False,DE
2012-07-01,81.0,False,DE
2012-08-01,16.0,False,DE
2012-09-01,47.0,False,DE
2012-10-01,57.0,False,DE
2012-11-01,88.0,False,DE
2012-12-01,29.0,False,DE
2013-01-01,53.0,False,DE
2013-02-01,28.0,False,DE
2013-03-01,13.0,False,DE
2013-04-01,26.0,False,DE
2013-05-01,26.0,False,DE
2013-06-01,0.0,False,DE
2013-07-01,100.0,False,DE
2013-08-01,43.0,False,DE
2013-09-01,57.0,False,DE
2013-10-01,27.0,False,DE
2013-11-01,41.0,False,DE
2013-12-01,21.0,False,DE
2014-01-01,53.0,False,DE
2014-02-01,63.0,False,DE
2014-03-01,69.0,False,DE
2014-04-01,37.0,False,DE
2014-05-01,25.0,False,DE
2014-06-01,15.0,False,DE
2014-07-01,87.0,False,DE
2014-08-01,14.0,False,DE
2014-09-01,52.0,False,DE
2014-10-01,64.0,False,DE
2014-11-01,14.0,False,DE
2014-12-01,0.0,False,DE
2015-01-01,14.0,False,DE
2015-02-01,14.0,False,DE
2015-03-01,26.0,False,DE
2015-04-01,41.0,False,DE
2015-05-01,43.0,False,DE
2015-06-01,31.0,False,DE
2015-07-01,30.0,False,DE
2015-08-01,30.0,False,DE
2015-09-01,14.0,False,DE
2015-10-01,66.0,False,DE
2015-11-01,0.0,False,DE
2015-12-01,0.0,False,DE
2016-01-01,36.0,False,DE
2016-02-01,10.0,False,DE
2016-03-01,9.0,False,DE
2016-04-01,36.0,False,DE
2016-05-01,0.0,False,DE
2016-06-01,10.0,False,DE
2016-07-01,0.0,False,DE
2016-08-01,0.0,False,DE
2016-09-01,27.0,False,DE
2016-10-01,18.0,False,DE
2016-11-01,0.0,False,DE
2016-12-01,17.0,False,DE
2017-01-01,25.0,False,DE
2017-02-01,26.0,False,DE
2017-03-01,8.0,False,DE
2017-04-01,8.0,False,DE
2017-05-01,0.0,False,DE
2017-06-01,26.0,False,DE
2017-07-01,25.0,False,DE
2017-08-01,23.0,False,DE
2017-09-01,0.0,False,DE
2017-10-01,38.0,False,DE
2017-11-01,15.0,False,DE
2017-12-01,15.0,False,DE
2018-01-01,22.0,False,DE
2018-02-01,16.0,False,DE
2018-03-01,29.0,False,DE
2018-04-01,15.0,False,DE
