date,unemployment,State
2015-06-14,20,AK
2015-06-21,10,AK
2015-06-28,61,AK
2015-07-05,30,AK
2015-07-12,28,AK
2015-07-19,50,AK
2015-07-26,38,AK
2015-08-02,40,AK
2015-08-09,20,AK
2015-08-16,57,AK
2015-08-23,46,AK
2015-08-30,46,AK
2015-09-06,19,AK
2015-09-13,62,AK
2015-09-20,9,AK
2015-09-27,36,AK
2015-10-04,35,AK
2015-10-11,36,AK
2015-10-18,63,AK
2015-10-25,45,AK
2015-11-01,36,AK
2015-11-08,45,AK
2015-11-15,71,AK
2015-11-22,47,AK
2015-11-29,78,AK
2015-12-06,44,AK
2015-12-13,37,AK
2015-12-20,63,AK
2015-12-27,29,AK
2016-01-03,78,AK
2016-01-10,42,AK
2016-01-17,43,AK
2016-01-24,51,AK
2016-01-31,43,AK
2016-02-07,51,AK
2016-02-14,43,AK
2016-02-21,25,AK
2016-02-28,33,AK
2016-03-06,33,AK
2016-03-13,26,AK
2016-03-20,34,AK
2016-03-27,50,AK
2016-04-03,25,AK
2016-04-10,100,AK
2016-04-17,58,AK
2016-04-24,25,AK
2016-05-01,17,AK
2016-05-08,71,AK
2016-05-15,34,AK
2016-05-22,53,AK
2016-05-29,45,AK
2016-06-05,17,AK
2016-06-12,35,AK
2016-06-19,35,AK
2016-06-26,26,AK
2016-07-03,18,AK
2016-07-10,60,AK
2016-07-17,34,AK
2016-07-24,17,AK
2016-07-31,50,AK
2016-08-07,17,AK
2016-08-14,18,AK
2016-08-21,51,AK
2016-08-28,25,AK
2016-09-04,17,AK
2016-09-11,81,AK
2016-09-18,66,AK
2016-09-25,42,AK
2016-10-02,42,AK
2016-10-09,25,AK
2016-10-16,78,AK
2016-10-23,59,AK
2016-10-30,17,AK
2016-11-06,40,AK
2016-11-13,50,AK
2016-11-20,43,AK
2016-11-27,56,AK
2016-12-04,48,AK
2016-12-11,24,AK
2016-12-18,44,AK
2016-12-25,73,AK
2017-01-01,80,AK
2017-01-08,49,AK
2017-01-15,65,AK
2017-01-22,32,AK
2017-01-29,64,AK
2017-02-05,24,AK
2017-02-12,71,AK
2017-02-19,8,AK
2017-02-26,52,AK
2017-03-05,53,AK
2017-03-12,48,AK
2017-03-19,24,AK
2017-03-26,46,AK
2017-04-02,55,AK
2017-04-09,55,AK
2017-04-16,24,AK
2017-04-23,55,AK
2017-04-30,48,AK
2017-05-07,16,AK
2017-05-14,26,AK
2017-05-21,63,AK
2017-05-28,19,AK
2017-06-04,0,AK
2017-06-11,72,AK
2017-06-18,68,AK
2017-06-25,63,AK
2017-07-02,36,AK
2017-07-09,43,AK
2017-07-16,35,AK
2017-07-23,9,AK
2017-07-30,42,AK
2017-08-06,16,AK
2017-08-13,33,AK
2017-08-20,0,AK
2017-08-27,32,AK
2017-09-03,41,AK
2017-09-10,32,AK
2017-09-17,33,AK
2017-09-24,24,AK
2017-10-01,16,AK
2017-10-08,16,AK
2017-10-15,17,AK
2017-10-22,58,AK
2017-10-29,93,AK
2017-11-05,33,AK
2017-11-12,32,AK
2017-11-19,25,AK
2017-11-26,70,AK
2017-12-03,46,AK
2017-12-10,39,AK
2017-12-17,17,AK
2017-12-24,36,AK
2017-12-31,68,AK
2018-01-07,64,AK
2018-01-14,47,AK
2018-01-21,53,AK
2018-01-28,31,AK
2018-02-04,31,AK
2018-02-11,23,AK
2018-02-18,39,AK
2018-02-25,38,AK
2018-03-04,31,AK
2018-03-11,48,AK
2018-03-18,31,AK
2018-03-25,61,AK
2018-04-01,38,AK
2018-04-08,32,AK
2018-04-15,31,AK
2018-04-22,16,AK
2018-04-29,23,AK
2018-05-06,31,AK
2018-05-13,16,AK
2018-05-20,33,AK
2018-05-27,25,AK
2018-06-03,33,AK
2018-06-10,32,AK
2018-06-17,47,AK
2018-06-24,24,AK
2018-07-01,34,AK
2018-07-08,31,AK
2018-07-15,16,AK
2018-07-22,40,AK
2018-07-29,23,AK
2018-08-05,15,AK
2018-08-12,16,AK
2018-08-19,16,AK
2018-08-26,24,AK
2018-09-02,50,AK
2018-09-09,24,AK
2018-09-16,8,AK
2018-09-23,25,AK
2018-09-30,41,AK
2018-10-07,25,AK
2018-10-14,32,AK
2018-10-21,31,AK
2018-10-28,44,AK
2018-11-04,46,AK
2018-11-11,17,AK
2018-11-18,26,AK
2018-11-25,24,AK
2018-12-02,16,AK
2018-12-09,17,AK
2018-12-16,43,AK
2018-12-23,9,AK
2018-12-30,53,AK
2015-01-04,100,AZ
2015-01-11,84,AZ
2015-01-18,75,AZ
2015-01-25,97,AZ
2015-02-01,84,AZ
2015-02-08,81,AZ
2015-02-15,59,AZ
2015-02-22,67,AZ
2015-03-01,67,AZ
2015-03-08,68,AZ
2015-03-15,39,AZ
2015-03-22,67,AZ
2015-03-29,71,AZ
2015-04-05,83,AZ
2015-04-12,65,AZ
2015-04-19,70,AZ
2015-04-26,80,AZ
2015-05-03,63,AZ
2015-05-10,72,AZ
2015-05-17,90,AZ
2015-05-24,52,AZ
2015-05-31,81,AZ
2015-06-07,64,AZ
2015-06-14,71,AZ
2015-06-21,63,AZ
2015-06-28,66,AZ
2015-07-05,81,AZ
2015-07-12,62,AZ
2015-07-19,62,AZ
2015-07-26,78,AZ
2015-08-02,69,AZ
2015-08-09,65,AZ
2015-08-16,51,AZ
2015-08-23,64,AZ
2015-08-30,61,AZ
2015-09-06,68,AZ
2015-09-13,61,AZ
2015-09-20,76,AZ
2015-09-27,53,AZ
2015-10-04,66,AZ
2015-10-11,77,AZ
2015-10-18,70,AZ
2015-10-25,57,AZ
2015-11-01,60,AZ
2015-11-08,65,AZ
2015-11-15,66,AZ
2015-11-22,53,AZ
2015-11-29,53,AZ
2015-12-06,55,AZ
2015-12-13,68,AZ
2015-12-20,43,AZ
2015-12-27,39,AZ
2016-01-03,64,AZ
2016-01-10,68,AZ
2016-01-17,44,AZ
2016-01-24,64,AZ
2016-01-31,49,AZ
2016-02-07,56,AZ
2016-02-14,52,AZ
2016-02-21,59,AZ
2016-02-28,72,AZ
2016-03-06,48,AZ
2016-03-13,60,AZ
2016-03-20,63,AZ
2016-03-27,79,AZ
2016-04-03,70,AZ
2016-04-10,70,AZ
2016-04-17,50,AZ
2016-04-24,62,AZ
2016-05-01,49,AZ
2016-05-08,46,AZ
2016-05-15,58,AZ
2016-05-22,66,AZ
2016-05-29,49,AZ
2016-06-05,64,AZ
2016-06-12,74,AZ
2016-06-19,38,AZ
2016-06-26,57,AZ
2016-07-03,54,AZ
2016-07-10,73,AZ
2016-07-17,46,AZ
2016-07-24,57,AZ
2016-07-31,60,AZ
2016-08-07,47,AZ
2016-08-14,44,AZ
2016-08-21,68,AZ
2016-08-28,60,AZ
2016-09-04,42,AZ
2016-09-11,45,AZ
2016-09-18,51,AZ
2016-09-25,50,AZ
2016-10-02,44,AZ
2016-10-09,42,AZ
2016-10-16,58,AZ
2016-10-23,60,AZ
