date,calvin klein,isPartial,State
2012-03-01,20,False,AR
2012-04-01,34,False,AR
2012-05-01,27,False,AR
2012-06-01,42,False,AR
2012-07-01,20,False,AR
2012-08-01,19,False,AR
2012-09-01,13,False,AR
2012-10-01,30,False,AR
2012-11-01,30,False,AR
2012-12-01,30,False,AR
2013-01-01,17,False,AR
2013-02-01,52,False,AR
2013-03-01,27,False,AR
2013-04-01,11,False,AR
2013-05-01,33,False,AR
2013-06-01,24,False,AR
2013-07-01,16,False,AR
2013-08-01,26,False,AR
2013-09-01,50,False,AR
2013-10-01,14,False,AR
2013-11-01,25,False,AR
2013-12-01,20,False,AR
2014-01-01,41,False,AR
2014-02-01,24,False,AR
2014-03-01,18,False,AR
2014-04-01,23,False,AR
2014-05-01,29,False,AR
2014-06-01,12,False,AR
2014-07-01,17,False,AR
2014-08-01,11,False,AR
2014-09-01,5,False,AR
2014-10-01,15,False,AR
2014-11-01,26,False,AR
2014-12-01,40,False,AR
2015-01-01,100,False,AR
2015-02-01,10,False,AR
2015-03-01,26,False,AR
2015-04-01,30,False,AR
2015-05-01,26,False,AR
2015-06-01,28,False,AR
2015-07-01,33,False,AR
2015-08-01,11,False,AR
2015-09-01,20,False,AR
2015-10-01,28,False,AR
2015-11-01,41,False,AR
2015-12-01,30,False,AR
2016-01-01,38,False,AR
2016-02-01,40,False,AR
2016-03-01,26,False,AR
2016-04-01,16,False,AR
2016-05-01,49,False,AR
2016-06-01,44,False,AR
2016-07-01,16,False,AR
2016-08-01,22,False,AR
2016-09-01,33,False,AR
2016-10-01,18,False,AR
2016-11-01,39,False,AR
2016-12-01,30,False,AR
2017-01-01,37,False,AR
2017-02-01,26,False,AR
2017-03-01,16,False,AR
2017-04-01,23,False,AR
2017-05-01,21,False,AR
2017-06-01,42,False,AR
2017-07-01,23,False,AR
2017-08-01,20,False,AR
2017-09-01,26,False,AR
2017-10-01,24,False,AR
2017-11-01,43,False,AR
2017-12-01,34,False,AR
2018-01-01,39,False,AR
2018-02-01,49,False,AR
2018-03-01,27,False,AR
2018-04-01,15,False,AR
2018-05-01,5,False,AR
2018-06-01,17,False,AR
2018-07-01,33,False,AR
2018-08-01,18,False,AR
2018-09-01,16,False,AR
2018-10-01,23,False,AR
2018-11-01,34,False,AR
2018-12-01,47,False,AR
2019-01-01,15,False,AR
2011-01-01,36,False,CA
2011-02-01,36,False,CA
2011-03-01,41,False,CA
2011-04-01,33,False,CA
2011-05-01,37,False,CA
2011-06-01,31,False,CA
2011-07-01,35,False,CA
2011-08-01,35,False,CA
2011-09-01,33,False,CA
2011-10-01,32,False,CA
2011-11-01,47,False,CA
2011-12-01,51,False,CA
2012-01-01,39,False,CA
2012-02-01,42,False,CA
2012-03-01,35,False,CA
2012-04-01,43,False,CA
2012-05-01,40,False,CA
