date,harvard,isPartial,State
2013-08-01,42,False,AZ
2013-09-01,65,False,AZ
2013-10-01,67,False,AZ
2013-11-01,68,False,AZ
2013-12-01,61,False,AZ
2014-01-01,51,False,AZ
2014-02-01,58,False,AZ
2014-03-01,75,False,AZ
2014-04-01,71,False,AZ
2014-05-01,70,False,AZ
2014-06-01,54,False,AZ
2014-07-01,60,False,AZ
2014-08-01,54,False,AZ
2014-09-01,65,False,AZ
2014-10-01,68,False,AZ
2014-11-01,77,False,AZ
2014-12-01,70,False,AZ
2015-01-01,65,False,AZ
2015-02-01,64,False,AZ
2015-03-01,61,False,AZ
2015-04-01,55,False,AZ
2015-05-01,66,False,AZ
2015-06-01,57,False,AZ
2015-07-01,70,False,AZ
2015-08-01,53,False,AZ
2015-09-01,64,False,AZ
2015-10-01,67,False,AZ
2015-11-01,55,False,AZ
2015-12-01,63,False,AZ
2016-01-01,63,False,AZ
2016-02-01,69,False,AZ
2016-03-01,64,False,AZ
2016-04-01,55,False,AZ
2016-05-01,73,False,AZ
2016-06-01,35,False,AZ
2016-07-01,35,False,AZ
2016-08-01,41,False,AZ
2016-09-01,66,False,AZ
2016-10-01,50,False,AZ
2016-11-01,66,False,AZ
2016-12-01,63,False,AZ
2017-01-01,65,False,AZ
2017-02-01,69,False,AZ
2017-03-01,59,False,AZ
2017-04-01,61,False,AZ
2017-05-01,55,False,AZ
2017-06-01,57,False,AZ
2017-07-01,48,False,AZ
2017-08-01,61,False,AZ
2017-09-01,62,False,AZ
2017-10-01,49,False,AZ
2017-11-01,64,False,AZ
2017-12-01,64,False,AZ
2018-01-01,60,False,AZ
2018-02-01,49,False,AZ
2018-03-01,53,False,AZ
2018-04-01,39,False,AZ
2018-05-01,51,False,AZ
2018-06-01,51,False,AZ
2018-07-01,44,False,AZ
2018-08-01,59,False,AZ
2018-09-01,75,False,AZ
2018-10-01,56,False,AZ
2018-11-01,60,False,AZ
2018-12-01,54,False,AZ
2019-01-01,59,False,AZ
2011-01-01,100,False,AR
2011-02-01,85,False,AR
2011-03-01,68,False,AR
2011-04-01,64,False,AR
2011-05-01,63,False,AR
2011-06-01,12,False,AR
2011-07-01,52,False,AR
2011-08-01,52,False,AR
2011-09-01,47,False,AR
2011-10-01,93,False,AR
2011-11-01,11,False,AR
2011-12-01,60,False,AR
2012-01-01,35,False,AR
2012-02-01,55,False,AR
2012-03-01,30,False,AR
2012-04-01,41,False,AR
2012-05-01,46,False,AR
2012-06-01,48,False,AR
2012-07-01,61,False,AR
2012-08-01,35,False,AR
2012-09-01,49,False,AR
2012-10-01,68,False,AR
2012-11-01,28,False,AR
2012-12-01,52,False,AR
2013-01-01,55,False,AR
2013-02-01,58,False,AR
2013-03-01,51,False,AR
2013-04-01,58,False,AR
2013-05-01,38,False,AR
2013-06-01,18,False,AR
2013-07-01,54,False,AR
2013-08-01,72,False,AR
2013-09-01,53,False,AR
2013-10-01,44,False,AR
2013-11-01,57,False,AR
2013-12-01,49,False,AR
2014-01-01,60,False,AR
2014-02-01,51,False,AR
2014-03-01,71,False,AR
2014-04-01,73,False,AR
2014-05-01,48,False,AR
2014-06-01,49,False,AR
2014-07-01,30,False,AR
2014-08-01,38,False,AR
2014-09-01,34,False,AR
2014-10-01,30,False,AR
2014-11-01,43,False,AR
2014-12-01,46,False,AR
2015-01-01,47,False,AR
2015-02-01,58,False,AR
2015-03-01,51,False,AR
2015-04-01,42,False,AR
2015-05-01,44,False,AR
2015-06-01,22,False,AR
2015-07-01,72,False,AR
2015-08-01,49,False,AR
2015-09-01,56,False,AR
2015-10-01,40,False,AR
2015-11-01,60,False,AR
2015-12-01,51,False,AR
2016-01-01,50,False,AR
2016-02-01,33,False,AR
2016-03-01,47,False,AR
2016-04-01,36,False,AR
2016-05-01,56,False,AR
2016-06-01,28,False,AR
2016-07-01,38,False,AR
2016-08-01,42,False,AR
2016-09-01,32,False,AR
2016-10-01,26,False,AR
2016-11-01,60,False,AR
2016-12-01,28,False,AR
2017-01-01,37,False,AR
2017-02-01,49,False,AR
2017-03-01,37,False,AR
2017-04-01,22,False,AR
2017-05-01,46,False,AR
2017-06-01,30,False,AR
2017-07-01,30,False,AR
2017-08-01,51,False,AR
2017-09-01,66,False,AR
2017-10-01,38,False,AR
2017-11-01,41,False,AR
2017-12-01,29,False,AR
2018-01-01,44,False,AR
2018-02-01,47,False,AR
2018-03-01,42,False,AR
2018-04-01,33,False,AR
2018-05-01,38,False,AR
2018-06-01,43,False,AR
2018-07-01,21,False,AR
2018-08-01,34,False,AR
2018-09-01,62,False,AR
2018-10-01,31,False,AR
2018-11-01,36,False,AR
2018-12-01,65,False,AR
2019-01-01,38,False,AR
2011-01-01,89,False,CA
2011-02-01,90,False,CA
2011-03-01,92,False,CA
2011-04-01,90,False,CA
2011-05-01,79,False,CA
2011-06-01,81,False,CA
2011-07-01,59,False,CA
2011-08-01,72,False,CA
2011-09-01,77,False,CA
2011-10-01,82,False,CA
2011-11-01,86,False,CA
2011-12-01,75,False,CA
2012-01-01,79,False,CA
2012-02-01,89,False,CA
2012-03-01,94,False,CA
2012-04-01,82,False,CA
2012-05-01,86,False,CA
2012-06-01,77,False,CA
2012-07-01,78,False,CA
2012-08-01,77,False,CA
2012-09-01,81,False,CA
2012-10-01,78,False,CA
2012-11-01,73,False,CA
2012-12-01,70,False,CA
2013-01-01,77,False,CA
2013-02-01,80,False,CA
2013-03-01,89,False,CA
2013-04-01,78,False,CA
2013-05-01,70,False,CA
2013-06-01,66,False,CA
2013-07-01,59,False,CA
2013-08-01,67,False,CA
2013-09-01,72,False,CA
2013-10-01,78,False,CA
2013-11-01,82,False,CA
2013-12-01,74,False,CA
2014-01-01,77,False,CA
2014-02-01,71,False,CA
2014-03-01,83,False,CA
2014-04-01,76,False,CA
2014-05-01,77,False,CA
2014-06-01,69,False,CA
2014-07-01,61,False,CA
2014-08-01,69,False,CA
2014-09-01,68,False,CA
2014-10-01,81,False,CA
2014-11-01,94,False,CA
2014-12-01,78,False,CA
2015-01-01,88,False,CA
2015-02-01,80,False,CA
2015-03-01,100,False,CA
2015-04-01,87,False,CA
2015-05-01,84,False,CA
2015-06-01,72,False,CA
2015-07-01,64,False,CA
2015-08-01,69,False,CA
2015-09-01,73,False,CA
2015-10-01,84,False,CA
2015-11-01,76,False,CA
2015-12-01,73,False,CA
2016-01-01,79,False,CA
2016-02-01,72,False,CA
2016-03-01,72,False,CA
