date,slutload,isPartial,State
2013-08-01,14,False,AZ
2013-09-01,14,False,AZ
2013-10-01,21,False,AZ
2013-11-01,22,False,AZ
2013-12-01,23,False,AZ
2014-01-01,20,False,AZ
2014-02-01,33,False,AZ
2014-03-01,14,False,AZ
2014-04-01,27,False,AZ
2014-05-01,11,False,AZ
2014-06-01,29,False,AZ
2014-07-01,22,False,AZ
2014-08-01,25,False,AZ
2014-09-01,19,False,AZ
2014-10-01,28,False,AZ
2014-11-01,24,False,AZ
2014-12-01,8,False,AZ
2015-01-01,11,False,AZ
2015-02-01,8,False,AZ
2015-03-01,7,False,AZ
2015-04-01,9,False,AZ
2015-05-01,14,False,AZ
2015-06-01,4,False,AZ
2015-07-01,11,False,AZ
2015-08-01,11,False,AZ
2015-09-01,19,False,AZ
2015-10-01,14,False,AZ
2015-11-01,17,False,AZ
2015-12-01,10,False,AZ
2016-01-01,13,False,AZ
2016-02-01,14,False,AZ
2016-03-01,9,False,AZ
2016-04-01,10,False,AZ
2016-05-01,9,False,AZ
2016-06-01,8,False,AZ
2016-07-01,9,False,AZ
2016-08-01,12,False,AZ
2016-09-01,4,False,AZ
2016-10-01,4,False,AZ
2016-11-01,6,False,AZ
2016-12-01,9,False,AZ
2017-01-01,6,False,AZ
2017-02-01,4,False,AZ
2017-03-01,3,False,AZ
2017-04-01,4,False,AZ
2017-05-01,11,False,AZ
2017-06-01,11,False,AZ
2017-07-01,5,False,AZ
2017-08-01,7,False,AZ
2017-09-01,4,False,AZ
2017-10-01,4,False,AZ
2017-11-01,7,False,AZ
2017-12-01,8,False,AZ
2018-01-01,5,False,AZ
2018-02-01,4,False,AZ
2018-03-01,5,False,AZ
2018-04-01,6,False,AZ
2018-05-01,6,False,AZ
2018-06-01,5,False,AZ
2018-07-01,8,False,AZ
2018-08-01,4,False,AZ
2018-09-01,3,False,AZ
2018-10-01,9,False,AZ
2018-11-01,5,False,AZ
2018-12-01,5,False,AZ
2019-01-01,2,False,AZ
2011-01-01,43,False,AR
2011-02-01,57,False,AR
2011-03-01,38,False,AR
2011-04-01,54,False,AR
2011-05-01,100,False,AR
2011-06-01,52,False,AR
2011-07-01,51,False,AR
2011-08-01,23,False,AR
2011-09-01,47,False,AR
2011-10-01,26,False,AR
2011-11-01,40,False,AR
2011-12-01,22,False,AR
2012-01-01,40,False,AR
2012-02-01,40,False,AR
2012-03-01,20,False,AR
2012-04-01,30,False,AR
2012-05-01,24,False,AR
2012-06-01,29,False,AR
2012-07-01,30,False,AR
2012-08-01,23,False,AR
2012-09-01,16,False,AR
2012-10-01,9,False,AR
2012-11-01,18,False,AR
2012-12-01,28,False,AR
2013-01-01,25,False,AR
2013-02-01,15,False,AR
2013-03-01,11,False,AR
2013-04-01,8,False,AR
2013-05-01,28,False,AR
2013-06-01,9,False,AR
2013-07-01,17,False,AR
2013-08-01,16,False,AR
2013-09-01,10,False,AR
2013-10-01,20,False,AR
2013-11-01,5,False,AR
2013-12-01,8,False,AR
2014-01-01,12,False,AR
2014-02-01,5,False,AR
2014-03-01,7,False,AR
2014-04-01,9,False,AR
2014-05-01,17,False,AR
2014-06-01,9,False,AR
2014-07-01,20,False,AR
2014-08-01,17,False,AR
2014-09-01,8,False,AR
2014-10-01,10,False,AR
2014-11-01,0,False,AR
2014-12-01,15,False,AR
2015-01-01,10,False,AR
2015-02-01,21,False,AR
2015-03-01,13,False,AR
2015-04-01,5,False,AR
2015-05-01,16,False,AR
2015-06-01,9,False,AR
2015-07-01,0,False,AR
2015-08-01,3,False,AR
2015-09-01,0,False,AR
2015-10-01,6,False,AR
2015-11-01,4,False,AR
2015-12-01,9,False,AR
2016-01-01,13,False,AR
2016-02-01,5,False,AR
2016-03-01,6,False,AR
2016-04-01,2,False,AR
2016-05-01,5,False,AR
2016-06-01,9,False,AR
2016-07-01,5,False,AR
2016-08-01,10,False,AR
2016-09-01,5,False,AR
2016-10-01,5,False,AR
2016-11-01,5,False,AR
2016-12-01,5,False,AR
2017-01-01,4,False,AR
2017-02-01,8,False,AR
2017-03-01,8,False,AR
2017-04-01,7,False,AR
2017-05-01,3,False,AR
2017-06-01,5,False,AR
2017-07-01,2,False,AR
2017-08-01,3,False,AR
2017-09-01,3,False,AR
2017-10-01,4,False,AR
2017-11-01,3,False,AR
2017-12-01,10,False,AR
2018-01-01,5,False,AR
2018-02-01,3,False,AR
2018-03-01,1,False,AR
2018-04-01,1,False,AR
2018-05-01,3,False,AR
2018-06-01,0,False,AR
2018-07-01,0,False,AR
2018-08-01,1,False,AR
2018-09-01,5,False,AR
2018-10-01,1,False,AR
2018-11-01,4,False,AR
2018-12-01,4,False,AR
2019-01-01,3,False,AR
2011-01-01,100,False,CA
2011-02-01,89,False,CA
2011-03-01,95,False,CA
2011-04-01,96,False,CA
2011-05-01,87,False,CA
2011-06-01,81,False,CA
2011-07-01,76,False,CA
2011-08-01,73,False,CA
2011-09-01,70,False,CA
2011-10-01,64,False,CA
2011-11-01,57,False,CA
2011-12-01,55,False,CA
2012-01-01,43,False,CA
2012-02-01,38,False,CA
2012-03-01,39,False,CA
2012-04-01,37,False,CA
2012-05-01,37,False,CA
2012-06-01,37,False,CA
2012-07-01,36,False,CA
2012-08-01,29,False,CA
2012-09-01,32,False,CA
2012-10-01,33,False,CA
2012-11-01,32,False,CA
2012-12-01,37,False,CA
2013-01-01,31,False,CA
2013-02-01,30,False,CA
2013-03-01,29,False,CA
2013-04-01,32,False,CA
2013-05-01,23,False,CA
2013-06-01,23,False,CA
2013-07-01,25,False,CA
2013-08-01,19,False,CA
2013-09-01,19,False,CA
2013-10-01,22,False,CA
2013-11-01,22,False,CA
2013-12-01,21,False,CA
2014-01-01,17,False,CA
2014-02-01,20,False,CA
2014-03-01,19,False,CA
2014-04-01,19,False,CA
2014-05-01,18,False,CA
2014-06-01,19,False,CA
2014-07-01,21,False,CA
2014-08-01,19,False,CA
2014-09-01,16,False,CA
2014-10-01,19,False,CA
2014-11-01,18,False,CA
2014-12-01,15,False,CA
2015-01-01,16,False,CA
2015-02-01,15,False,CA
2015-03-01,13,False,CA
2015-04-01,12,False,CA
2015-05-01,10,False,CA
2015-06-01,11,False,CA
2015-07-01,12,False,CA
2015-08-01,12,False,CA
2015-09-01,11,False,CA
2015-10-01,12,False,CA
2015-11-01,12,False,CA
2015-12-01,7,False,CA
2016-01-01,10,False,CA
2016-02-01,11,False,CA
2016-03-01,9,False,CA
2016-04-01,10,False,CA
2016-05-01,7,False,CA
2016-06-01,6,False,CA
2016-07-01,7,False,CA
2016-08-01,7,False,CA
2016-09-01,7,False,CA
2016-10-01,7,False,CA
2016-11-01,8,False,CA
2016-12-01,9,False,CA
2017-01-01,7,False,CA
2017-02-01,4,False,CA
2017-03-01,5,False,CA
2017-04-01,7,False,CA
2017-05-01,5,False,CA
2017-06-01,5,False,CA
2017-07-01,7,False,CA
2017-08-01,5,False,CA
2017-09-01,6,False,CA
2017-10-01,4,False,CA
2017-11-01,5,False,CA
2017-12-01,6,False,CA
2018-01-01,5,False,CA
2018-02-01,5,False,CA
2018-03-01,5,False,CA
2018-04-01,4,False,CA
2018-05-01,4,False,CA
2018-06-01,5,False,CA
2018-07-01,4,False,CA
2018-08-01,4,False,CA
2018-09-01,4,False,CA
2018-10-01,5,False,CA
2018-11-01,3,False,CA
2018-12-01,3,False,CA
2019-01-01,4,False,CA
2011-01-01,64,False,CO
2011-02-01,100,False,CO
