date,candy crush,isPartial,State
2013-08-01,89,False,AZ
2013-09-01,82,False,AZ
2013-10-01,66,False,AZ
2013-11-01,67,False,AZ
2013-12-01,62,False,AZ
2014-01-01,68,False,AZ
2014-02-01,61,False,AZ
2014-03-01,44,False,AZ
2014-04-01,41,False,AZ
2014-05-01,33,False,AZ
2014-06-01,38,False,AZ
2014-07-01,33,False,AZ
2014-08-01,32,False,AZ
2014-09-01,28,False,AZ
2014-10-01,27,False,AZ
2014-11-01,25,False,AZ
2014-12-01,24,False,AZ
2015-01-01,22,False,AZ
2015-02-01,21,False,AZ
2015-03-01,24,False,AZ
2015-04-01,18,False,AZ
2015-05-01,20,False,AZ
2015-06-01,13,False,AZ
2015-07-01,18,False,AZ
2015-08-01,16,False,AZ
2015-09-01,19,False,AZ
2015-10-01,15,False,AZ
2015-11-01,13,False,AZ
2015-12-01,15,False,AZ
2016-01-01,16,False,AZ
2016-02-01,14,False,AZ
2016-03-01,15,False,AZ
2016-04-01,14,False,AZ
2016-05-01,12,False,AZ
2016-06-01,14,False,AZ
2016-07-01,13,False,AZ
2016-08-01,12,False,AZ
2016-09-01,12,False,AZ
2016-10-01,11,False,AZ
2016-11-01,12,False,AZ
2016-12-01,11,False,AZ
2017-01-01,14,False,AZ
2017-02-01,11,False,AZ
2017-03-01,11,False,AZ
2017-04-01,9,False,AZ
2017-05-01,11,False,AZ
2017-06-01,9,False,AZ
2017-07-01,12,False,AZ
2017-08-01,13,False,AZ
2017-09-01,13,False,AZ
2017-10-01,10,False,AZ
2017-11-01,13,False,AZ
2017-12-01,12,False,AZ
2018-01-01,13,False,AZ
2018-02-01,9,False,AZ
2018-03-01,10,False,AZ
2018-04-01,13,False,AZ
2018-05-01,12,False,AZ
2018-06-01,11,False,AZ
2018-07-01,9,False,AZ
2018-08-01,10,False,AZ
2018-09-01,8,False,AZ
2018-10-01,12,False,AZ
2018-11-01,9,False,AZ
2018-12-01,9,False,AZ
2019-01-01,11,False,AZ
2011-01-01,0,False,AR
2011-02-01,0,False,AR
2011-03-01,0,False,AR
2011-04-01,0,False,AR
2011-05-01,1,False,AR
2011-06-01,0,False,AR
2011-07-01,0,False,AR
2011-08-01,0,False,AR
2011-09-01,0,False,AR
2011-10-01,1,False,AR
2011-11-01,0,False,AR
2011-12-01,0,False,AR
2012-01-01,0,False,AR
2012-02-01,0,False,AR
2012-03-01,0,False,AR
2012-04-01,0,False,AR
2012-05-01,0,False,AR
2012-06-01,1,False,AR
2012-07-01,0,False,AR
2012-08-01,0,False,AR
2012-09-01,2,False,AR
2012-10-01,2,False,AR
2012-11-01,3,False,AR
2012-12-01,3,False,AR
2013-01-01,5,False,AR
2013-02-01,11,False,AR
2013-03-01,21,False,AR
2013-04-01,29,False,AR
2013-05-01,61,False,AR
2013-06-01,100,False,AR
2013-07-01,100,False,AR
2013-08-01,90,False,AR
2013-09-01,82,False,AR
2013-10-01,84,False,AR
2013-11-01,54,False,AR
2013-12-01,72,False,AR
2014-01-01,47,False,AR
2014-02-01,33,False,AR
2014-03-01,47,False,AR
2014-04-01,17,False,AR
2014-05-01,24,False,AR
2014-06-01,25,False,AR
2014-07-01,25,False,AR
2014-08-01,24,False,AR
2014-09-01,29,False,AR
2014-10-01,24,False,AR
2014-11-01,20,False,AR
2014-12-01,13,False,AR
2015-01-01,27,False,AR
2015-02-01,19,False,AR
2015-03-01,16,False,AR
2015-04-01,20,False,AR
2015-05-01,16,False,AR
2015-06-01,17,False,AR
2015-07-01,11,False,AR
2015-08-01,16,False,AR
2015-09-01,12,False,AR
2015-10-01,19,False,AR
2015-11-01,15,False,AR
2015-12-01,14,False,AR
2016-01-01,17,False,AR
2016-02-01,13,False,AR
2016-03-01,10,False,AR
2016-04-01,13,False,AR
2016-05-01,13,False,AR
2016-06-01,17,False,AR
2016-07-01,11,False,AR
2016-08-01,11,False,AR
2016-09-01,9,False,AR
2016-10-01,10,False,AR
2016-11-01,9,False,AR
2016-12-01,9,False,AR
2017-01-01,7,False,AR
