date,participants,policy,isPartial,State
2017-06-01,0,45,False,AK
2017-07-01,3,66,False,AK
2017-08-01,0,58,False,AK
2017-09-01,3,65,False,AK
2017-10-01,5,91,False,AK
2017-11-01,0,59,False,AK
2017-12-01,0,76,False,AK
2018-01-01,2,54,False,AK
2018-02-01,5,71,False,AK
2018-03-01,5,100,False,AK
2018-04-01,3,63,False,AK
2018-05-01,0,87,False,AK
2018-06-01,0,56,False,AK
2018-07-01,5,55,False,AK
2018-08-01,0,60,False,AK
2018-09-01,0,58,False,AK
2018-10-01,0,73,False,AK
2018-11-01,0,64,False,AK
2018-12-01,0,72,False,AK
2019-01-01,0,69,False,AK
2011-01-01,1,60,False,AZ
2011-02-01,1,73,False,AZ
2011-03-01,1,61,False,AZ
2011-04-01,0,76,False,AZ
2011-05-01,1,71,False,AZ
2011-06-01,2,61,False,AZ
2011-07-01,1,67,False,AZ
2011-08-01,1,66,False,AZ
2011-09-01,1,64,False,AZ
2011-10-01,2,87,False,AZ
2011-11-01,2,78,False,AZ
2011-12-01,2,68,False,AZ
2012-01-01,2,71,False,AZ
2012-02-01,5,72,False,AZ
2012-03-01,1,80,False,AZ
2012-04-01,3,79,False,AZ
2012-05-01,1,67,False,AZ
2012-06-01,2,59,False,AZ
2012-07-01,3,54,False,AZ
2012-08-01,2,67,False,AZ
2012-09-01,2,71,False,AZ
2012-10-01,1,83,False,AZ
2012-11-01,1,68,False,AZ
2012-12-01,3,77,False,AZ
2013-01-01,2,77,False,AZ
2013-02-01,2,71,False,AZ
2013-03-01,1,72,False,AZ
2013-04-01,2,76,False,AZ
2013-05-01,1,72,False,AZ
2013-06-01,3,64,False,AZ
2013-07-01,1,62,False,AZ
2013-08-01,2,69,False,AZ
2013-09-01,1,70,False,AZ
2013-10-01,3,78,False,AZ
2013-11-01,3,79,False,AZ
2013-12-01,1,87,False,AZ
2014-01-01,3,64,False,AZ
2014-02-01,2,77,False,AZ
2014-03-01,0,77,False,AZ
2014-04-01,1,74,False,AZ
2014-05-01,1,80,False,AZ
2014-06-01,1,70,False,AZ
2014-07-01,1,67,False,AZ
2014-08-01,1,71,False,AZ
2014-09-01,3,73,False,AZ
2014-10-01,1,82,False,AZ
2014-11-01,2,83,False,AZ
2014-12-01,2,93,False,AZ
2015-01-01,5,79,False,AZ
2015-02-01,3,85,False,AZ
2015-03-01,2,82,False,AZ
2015-04-01,3,92,False,AZ
2015-05-01,4,88,False,AZ
2015-06-01,3,77,False,AZ
2015-07-01,1,78,False,AZ
2015-08-01,2,82,False,AZ
2015-09-01,1,81,False,AZ
2015-10-01,3,87,False,AZ
2015-11-01,2,77,False,AZ
2015-12-01,3,82,False,AZ
2016-01-01,4,71,False,AZ
2016-02-01,2,71,False,AZ
2016-03-01,3,83,False,AZ
2016-04-01,4,100,False,AZ
2016-05-01,2,91,False,AZ
2016-06-01,2,71,False,AZ
2016-07-01,2,66,False,AZ
