date,linkedin,isPartial,State
2011-01-01,27,False,AL
2011-02-01,28,False,AL
2011-03-01,25,False,AL
2011-04-01,26,False,AL
2011-05-01,31,False,AL
2011-06-01,45,False,AL
2011-07-01,43,False,AL
2011-08-01,46,False,AL
2011-09-01,44,False,AL
2011-10-01,44,False,AL
2011-11-01,50,False,AL
2011-12-01,44,False,AL
2012-01-01,44,False,AL
2012-02-01,60,False,AL
2012-03-01,42,False,AL
2012-04-01,57,False,AL
2012-05-01,51,False,AL
2012-06-01,59,False,AL
2012-07-01,59,False,AL
2012-08-01,51,False,AL
2012-09-01,62,False,AL
2012-10-01,58,False,AL
2012-11-01,47,False,AL
2012-12-01,46,False,AL
2013-01-01,71,False,AL
2013-02-01,79,False,AL
2013-03-01,65,False,AL
2013-04-01,84,False,AL
2013-05-01,71,False,AL
2013-06-01,64,False,AL
2013-07-01,73,False,AL
2013-08-01,79,False,AL
2013-09-01,87,False,AL
2013-10-01,77,False,AL
2013-11-01,71,False,AL
2013-12-01,58,False,AL
2014-01-01,63,False,AL
2014-02-01,70,False,AL
2014-03-01,77,False,AL
2014-04-01,65,False,AL
2014-05-01,74,False,AL
2014-06-01,81,False,AL
2014-07-01,76,False,AL
2014-08-01,77,False,AL
2014-09-01,76,False,AL
2014-10-01,71,False,AL
2014-11-01,63,False,AL
2014-12-01,65,False,AL
2015-01-01,78,False,AL
2015-02-01,76,False,AL
2015-03-01,83,False,AL
2015-04-01,71,False,AL
2015-05-01,84,False,AL
2015-06-01,100,False,AL
2015-07-01,92,False,AL
2015-08-01,83,False,AL
2015-09-01,72,False,AL
2015-10-01,74,False,AL
2015-11-01,74,False,AL
2015-12-01,55,False,AL
2016-01-01,54,False,AL
2016-02-01,55,False,AL
2016-03-01,54,False,AL
2016-04-01,60,False,AL
2016-05-01,59,False,AL
2016-06-01,64,False,AL
2016-07-01,55,False,AL
2016-08-01,54,False,AL
2016-09-01,55,False,AL
2016-10-01,46,False,AL
2016-11-01,48,False,AL
2016-12-01,42,False,AL
2017-01-01,52,False,AL
2017-02-01,55,False,AL
2017-03-01,44,False,AL
2017-04-01,44,False,AL
2017-05-01,40,False,AL
2017-06-01,41,False,AL
2017-07-01,41,False,AL
2017-08-01,52,False,AL
2017-09-01,50,False,AL
2017-10-01,49,False,AL
2017-11-01,40,False,AL
2017-12-01,29,False,AL
2018-01-01,49,False,AL
2018-02-01,46,False,AL
2018-03-01,35,False,AL
2018-04-01,45,False,AL
2018-05-01,39,False,AL
2018-06-01,43,False,AL
2018-07-01,45,False,AL
2018-08-01,40,False,AL
2018-09-01,42,False,AL
2018-10-01,39,False,AL
2018-11-01,36,False,AL
2018-12-01,34,False,AL
2019-01-01,45,False,AL
2011-01-01,15,False,AK
2011-02-01,11,False,AK
2011-03-01,15,False,AK
2011-04-01,20,False,AK
2011-05-01,21,False,AK
2011-06-01,36,False,AK
2011-07-01,32,False,AK
2011-08-01,29,False,AK
2011-09-01,29,False,AK
2011-10-01,28,False,AK
2011-11-01,55,False,AK
2011-12-01,36,False,AK
2012-01-01,8,False,AK
2012-02-01,38,False,AK
2012-03-01,28,False,AK
2012-04-01,43,False,AK
2012-05-01,40,False,AK
2012-06-01,96,False,AK
2012-07-01,39,False,AK
2012-08-01,32,False,AK
2012-09-01,49,False,AK
2012-10-01,22,False,AK
2012-11-01,35,False,AK
2012-12-01,42,False,AK
2013-01-01,52,False,AK
2013-02-01,31,False,AK
2013-03-01,46,False,AK
2013-04-01,45,False,AK
2013-05-01,72,False,AK
2013-06-01,65,False,AK
2013-07-01,80,False,AK
2013-08-01,53,False,AK
2013-09-01,67,False,AK
2013-10-01,71,False,AK
2013-11-01,46,False,AK
2013-12-01,60,False,AK
2014-01-01,63,False,AK
2014-02-01,67,False,AK
2014-03-01,52,False,AK
2014-04-01,62,False,AK
2014-05-01,58,False,AK
2014-06-01,81,False,AK
2014-07-01,81,False,AK
2014-08-01,64,False,AK
2014-09-01,88,False,AK
2014-10-01,40,False,AK
2014-11-01,30,False,AK
2014-12-01,64,False,AK
2015-01-01,100,False,AK
2015-02-01,72,False,AK
2015-03-01,33,False,AK
2015-04-01,73,False,AK
2015-05-01,81,False,AK
2015-06-01,58,False,AK
2015-07-01,80,False,AK
2015-08-01,72,False,AK
2015-09-01,74,False,AK
2015-10-01,50,False,AK
2015-11-01,69,False,AK
2015-12-01,59,False,AK
2016-01-01,62,False,AK
2016-02-01,34,False,AK
2016-03-01,35,False,AK
2016-04-01,35,False,AK
2016-05-01,50,False,AK
2016-06-01,68,False,AK
2016-07-01,55,False,AK
2016-08-01,44,False,AK
2016-09-01,38,False,AK
2016-10-01,41,False,AK
2016-11-01,51,False,AK
2016-12-01,25,False,AK
2017-01-01,28,False,AK
2017-02-01,72,False,AK
2017-03-01,49,False,AK
2017-04-01,74,False,AK
2017-05-01,48,False,AK
2017-06-01,51,False,AK
2017-07-01,50,False,AK
2017-08-01,34,False,AK
2017-09-01,25,False,AK
2017-10-01,31,False,AK
2017-11-01,44,False,AK
2017-12-01,37,False,AK
2018-01-01,57,False,AK
2018-02-01,29,False,AK
2018-03-01,67,False,AK
2018-04-01,39,False,AK
2018-05-01,45,False,AK
2018-06-01,31,False,AK
2018-07-01,36,False,AK
2018-08-01,29,False,AK
2018-09-01,22,False,AK
2018-10-01,47,False,AK
2018-11-01,29,False,AK
2018-12-01,26,False,AK
2019-01-01,46,False,AK
2011-01-01,33,False,AZ
2011-02-01,37,False,AZ
2011-03-01,30,False,AZ
2011-04-01,25,False,AZ
2011-05-01,38,False,AZ
2011-06-01,49,False,AZ
2011-07-01,49,False,AZ
2011-08-01,56,False,AZ
2011-09-01,50,False,AZ
2011-10-01,43,False,AZ
2011-11-01,44,False,AZ
2011-12-01,54,False,AZ
2012-01-01,50,False,AZ
2012-02-01,49,False,AZ
2012-03-01,48,False,AZ
2012-04-01,52,False,AZ
2012-05-01,45,False,AZ
2012-06-01,74,False,AZ
2012-07-01,54,False,AZ
2012-08-01,61,False,AZ
2012-09-01,57,False,AZ
2012-10-01,61,False,AZ
2012-11-01,55,False,AZ
2012-12-01,48,False,AZ
2013-01-01,67,False,AZ
2013-02-01,61,False,AZ
2013-03-01,59,False,AZ
2013-04-01,61,False,AZ
2013-05-01,69,False,AZ
2013-06-01,74,False,AZ
2013-07-01,84,False,AZ
2013-08-01,83,False,AZ
2013-09-01,71,False,AZ
2013-10-01,73,False,AZ
2013-11-01,70,False,AZ
2013-12-01,57,False,AZ
2014-01-01,67,False,AZ
2014-02-01,68,False,AZ
2014-03-01,69,False,AZ
2014-04-01,69,False,AZ
2014-05-01,68,False,AZ
2014-06-01,75,False,AZ
2014-07-01,73,False,AZ
2014-08-01,84,False,AZ
2014-09-01,70,False,AZ
2014-10-01,77,False,AZ
2014-11-01,73,False,AZ
2014-12-01,66,False,AZ
2015-01-01,78,False,AZ
2015-02-01,79,False,AZ
