date,vodka,isPartial,State
2013-08-01,60,False,AZ
2013-09-01,49,False,AZ
2013-10-01,59,False,AZ
2013-11-01,80,False,AZ
2013-12-01,81,False,AZ
2014-01-01,77,False,AZ
2014-02-01,55,False,AZ
2014-03-01,65,False,AZ
2014-04-01,70,False,AZ
2014-05-01,64,False,AZ
2014-06-01,63,False,AZ
2014-07-01,78,False,AZ
2014-08-01,59,False,AZ
2014-09-01,54,False,AZ
2014-10-01,56,False,AZ
2014-11-01,67,False,AZ
2014-12-01,82,False,AZ
2015-01-01,62,False,AZ
2015-02-01,60,False,AZ
2015-03-01,62,False,AZ
2015-04-01,51,False,AZ
2015-05-01,79,False,AZ
2015-06-01,65,False,AZ
2015-07-01,80,False,AZ
2015-08-01,60,False,AZ
2015-09-01,54,False,AZ
2015-10-01,65,False,AZ
2015-11-01,60,False,AZ
2015-12-01,89,False,AZ
2016-01-01,63,False,AZ
2016-02-01,70,False,AZ
2016-03-01,68,False,AZ
2016-04-01,57,False,AZ
2016-05-01,73,False,AZ
2016-06-01,68,False,AZ
2016-07-01,73,False,AZ
2016-08-01,72,False,AZ
2016-09-01,60,False,AZ
2016-10-01,71,False,AZ
2016-11-01,63,False,AZ
2016-12-01,95,False,AZ
2017-01-01,64,False,AZ
2017-02-01,54,False,AZ
2017-03-01,58,False,AZ
2017-04-01,64,False,AZ
2017-05-01,67,False,AZ
2017-06-01,82,False,AZ
2017-07-01,82,False,AZ
2017-08-01,70,False,AZ
2017-09-01,66,False,AZ
2017-10-01,70,False,AZ
2017-11-01,71,False,AZ
2017-12-01,95,False,AZ
2018-01-01,80,False,AZ
2018-02-01,67,False,AZ
2018-03-01,76,False,AZ
2018-04-01,69,False,AZ
2018-05-01,78,False,AZ
2018-06-01,100,False,AZ
2018-07-01,80,False,AZ
2018-08-01,84,False,AZ
2018-09-01,74,False,AZ
2018-10-01,64,False,AZ
2018-11-01,81,False,AZ
2018-12-01,88,False,AZ
2019-01-01,76,False,AZ
2011-01-01,30,False,AR
2011-02-01,26,False,AR
2011-03-01,58,False,AR
2011-04-01,35,False,AR
2011-05-01,45,False,AR
2011-06-01,45,False,AR
2011-07-01,61,False,AR
2011-08-01,74,False,AR
2011-09-01,65,False,AR
2011-10-01,47,False,AR
2011-11-01,65,False,AR
2011-12-01,93,False,AR
2012-01-01,72,False,AR
2012-02-01,100,False,AR
2012-03-01,39,False,AR
2012-04-01,48,False,AR
2012-05-01,53,False,AR
2012-06-01,70,False,AR
2012-07-01,47,False,AR
2012-08-01,59,False,AR
2012-09-01,55,False,AR
2012-10-01,62,False,AR
2012-11-01,59,False,AR
2012-12-01,68,False,AR
2013-01-01,47,False,AR
2013-02-01,42,False,AR
2013-03-01,60,False,AR
2013-04-01,54,False,AR
2013-05-01,65,False,AR
2013-06-01,51,False,AR
2013-07-01,57,False,AR
2013-08-01,48,False,AR
2013-09-01,36,False,AR
2013-10-01,62,False,AR
2013-11-01,55,False,AR
2013-12-01,55,False,AR
2014-01-01,36,False,AR
2014-02-01,49,False,AR
2014-03-01,29,False,AR
2014-04-01,57,False,AR
2014-05-01,69,False,AR
2014-06-01,30,False,AR
2014-07-01,66,False,AR
2014-08-01,46,False,AR
2014-09-01,40,False,AR
2014-10-01,32,False,AR
2014-11-01,60,False,AR
2014-12-01,88,False,AR
2015-01-01,31,False,AR
2015-02-01,43,False,AR
2015-03-01,54,False,AR
2015-04-01,36,False,AR
2015-05-01,31,False,AR
2015-06-01,33,False,AR
2015-07-01,25,False,AR
2015-08-01,38,False,AR
2015-09-01,45,False,AR
2015-10-01,34,False,AR
2015-11-01,44,False,AR
2015-12-01,86,False,AR
2016-01-01,60,False,AR
2016-02-01,46,False,AR
2016-03-01,54,False,AR
2016-04-01,50,False,AR
2016-05-01,52,False,AR
2016-06-01,49,False,AR
2016-07-01,66,False,AR
2016-08-01,44,False,AR
2016-09-01,27,False,AR
2016-10-01,66,False,AR
2016-11-01,48,False,AR
2016-12-01,65,False,AR
2017-01-01,42,False,AR
2017-02-01,39,False,AR
2017-03-01,45,False,AR
2017-04-01,45,False,AR
2017-05-01,35,False,AR
2017-06-01,45,False,AR
2017-07-01,46,False,AR
2017-08-01,55,False,AR
2017-09-01,46,False,AR
2017-10-01,39,False,AR
2017-11-01,47,False,AR
2017-12-01,60,False,AR
2018-01-01,37,False,AR
2018-02-01,58,False,AR
2018-03-01,49,False,AR
2018-04-01,49,False,AR
2018-05-01,48,False,AR
2018-06-01,66,False,AR
2018-07-01,58,False,AR
2018-08-01,54,False,AR
2018-09-01,48,False,AR
2018-10-01,53,False,AR
2018-11-01,49,False,AR
2018-12-01,67,False,AR
2019-01-01,39,False,AR
2011-01-01,69,False,CA
2011-02-01,63,False,CA
2011-03-01,62,False,CA
2011-04-01,65,False,CA
2011-05-01,71,False,CA
2011-06-01,80,False,CA
2011-07-01,89,False,CA
2011-08-01,82,False,CA
2011-09-01,73,False,CA
2011-10-01,81,False,CA
2011-11-01,85,False,CA
2011-12-01,94,False,CA
2012-01-01,82,False,CA
2012-02-01,76,False,CA
2012-03-01,79,False,CA
2012-04-01,86,False,CA
2012-05-01,81,False,CA
2012-06-01,100,False,CA
2012-07-01,100,False,CA
2012-08-01,82,False,CA
2012-09-01,83,False,CA
2012-10-01,77,False,CA
2012-11-01,84,False,CA
2012-12-01,98,False,CA
2013-01-01,77,False,CA
2013-02-01,76,False,CA
2013-03-01,79,False,CA
2013-04-01,71,False,CA
2013-05-01,74,False,CA
2013-06-01,85,False,CA
2013-07-01,84,False,CA
2013-08-01,79,False,CA
2013-09-01,77,False,CA
2013-10-01,69,False,CA
2013-11-01,76,False,CA
2013-12-01,84,False,CA
2014-01-01,65,False,CA
2014-02-01,63,False,CA
2014-03-01,68,False,CA
2014-04-01,66,False,CA
2014-05-01,72,False,CA
2014-06-01,75,False,CA
2014-07-01,80,False,CA
2014-08-01,70,False,CA
2014-09-01,59,False,CA
2014-10-01,67,False,CA
2014-11-01,70,False,CA
2014-12-01,84,False,CA
2015-01-01,70,False,CA
2015-02-01,63,False,CA
2015-03-01,70,False,CA
2015-04-01,68,False,CA
2015-05-01,67,False,CA
2015-06-01,73,False,CA
2015-07-01,79,False,CA
2015-08-01,72,False,CA
2015-09-01,63,False,CA
2015-10-01,70,False,CA
2015-11-01,72,False,CA
2015-12-01,82,False,CA
2016-01-01,73,False,CA
2016-02-01,62,False,CA
2016-03-01,65,False,CA
2016-04-01,66,False,CA
2016-05-01,78,False,CA
2016-06-01,70,False,CA
2016-07-01,79,False,CA
2016-08-01,69,False,CA
2016-09-01,63,False,CA
2016-10-01,70,False,CA
2016-11-01,66,False,CA
2016-12-01,82,False,CA
2017-01-01,63,False,CA
2017-02-01,56,False,CA
2017-03-01,58,False,CA
2017-04-01,64,False,CA
2017-05-01,64,False,CA
2017-06-01,71,False,CA
2017-07-01,81,False,CA
2017-08-01,67,False,CA
2017-09-01,67,False,CA
2017-10-01,63,False,CA
2017-11-01,65,False,CA
2017-12-01,84,False,CA
2018-01-01,70,False,CA
2018-02-01,60,False,CA
2018-03-01,65,False,CA
2018-04-01,59,False,CA
2018-05-01,64,False,CA
2018-06-01,77,False,CA
2018-07-01,77,False,CA
2018-08-01,67,False,CA
2018-09-01,69,False,CA
2018-10-01,70,False,CA
2018-11-01,63,False,CA
2018-12-01,91,False,CA
2019-01-01,65,False,CA
2011-01-01,82,False,CO
2011-02-01,53,False,CO
2011-03-01,55,False,CO
2011-04-01,62,False,CO
2011-05-01,64,False,CO
2011-06-01,67,False,CO
2011-07-01,83,False,CO
2011-08-01,59,False,CO
2011-09-01,57,False,CO
2011-10-01,66,False,CO
2011-11-01,60,False,CO
2011-12-01,75,False,CO
2012-01-01,63,False,CO
2012-02-01,72,False,CO
2012-03-01,67,False,CO
2012-04-01,63,False,CO
2012-05-01,75,False,CO
2012-06-01,67,False,CO
2012-07-01,100,False,CO
2012-08-01,79,False,CO
2012-09-01,85,False,CO
2012-10-01,69,False,CO
2012-11-01,74,False,CO
2012-12-01,88,False,CO
2013-01-01,64,False,CO
2013-02-01,73,False,CO
2013-03-01,66,False,CO
2013-04-01,66,False,CO
2013-05-01,71,False,CO
2013-06-01,67,False,CO
2013-07-01,69,False,CO
2013-08-01,67,False,CO
2013-09-01,51,False,CO
2013-10-01,63,False,CO
2013-11-01,69,False,CO
