date,online masters,isPartial,State
2018-10-28,25,False,AL
2018-11-04,8,False,AL
2018-11-11,0,False,AL
2018-11-18,9,False,AL
2018-11-25,0,False,AL
2018-12-02,8,False,AL
2018-12-09,8,False,AL
2018-12-16,44,False,AL
2018-12-23,0,False,AL
2018-12-30,17,False,AL
2015-01-04,0,False,AK
2015-01-11,0,False,AK
2015-01-18,0,False,AK
2015-01-25,0,False,AK
2015-02-01,0,False,AK
2015-02-08,0,False,AK
2015-02-15,0,False,AK
2015-02-22,79,False,AK
2015-03-01,40,False,AK
2015-03-08,0,False,AK
2015-03-15,41,False,AK
2015-03-22,0,False,AK
2015-03-29,0,False,AK
2015-04-05,0,False,AK
2015-04-12,0,False,AK
2015-04-19,0,False,AK
2015-04-26,0,False,AK
2015-05-03,41,False,AK
2015-05-10,0,False,AK
2015-05-17,0,False,AK
2015-05-24,0,False,AK
2015-05-31,0,False,AK
2015-06-07,0,False,AK
2015-06-14,43,False,AK
2015-06-21,0,False,AK
2015-06-28,0,False,AK
2015-07-05,0,False,AK
2015-07-12,0,False,AK
2015-07-19,0,False,AK
2015-07-26,0,False,AK
2015-08-02,42,False,AK
2015-08-09,0,False,AK
2015-08-16,40,False,AK
2015-08-23,39,False,AK
2015-08-30,0,False,AK
2015-09-06,0,False,AK
2015-09-13,39,False,AK
2015-09-20,78,False,AK
2015-09-27,0,False,AK
2015-10-04,0,False,AK
2015-10-11,0,False,AK
2015-10-18,0,False,AK
2015-10-25,39,False,AK
2015-11-01,0,False,AK
2015-11-08,0,False,AK
2015-11-15,0,False,AK
2015-11-22,0,False,AK
2015-11-29,0,False,AK
2015-12-06,0,False,AK
2015-12-13,0,False,AK
2015-12-20,0,False,AK
2015-12-27,0,False,AK
2016-01-03,38,False,AK
2016-01-10,36,False,AK
2016-01-17,0,False,AK
2016-01-24,36,False,AK
2016-01-31,0,False,AK
2016-02-07,36,False,AK
2016-02-14,37,False,AK
2016-02-21,0,False,AK
2016-02-28,35,False,AK
2016-03-06,0,False,AK
2016-03-13,0,False,AK
2016-03-20,0,False,AK
2016-03-27,72,False,AK
2016-04-03,35,False,AK
2016-04-10,0,False,AK
2016-04-17,0,False,AK
2016-04-24,0,False,AK
2016-05-01,0,False,AK
2016-05-08,0,False,AK
2016-05-15,0,False,AK
2016-05-22,0,False,AK
2016-05-29,0,False,AK
2016-06-05,0,False,AK
2016-06-12,0,False,AK
2016-06-19,0,False,AK
2016-06-26,0,False,AK
2016-07-03,0,False,AK
2016-07-10,0,False,AK
2016-07-17,0,False,AK
2016-07-24,36,False,AK
2016-07-31,0,False,AK
2016-08-07,0,False,AK
2016-08-14,0,False,AK
2016-08-21,0,False,AK
2016-08-28,0,False,AK
2016-09-04,36,False,AK
2016-09-11,0,False,AK
2016-09-18,35,False,AK
2016-09-25,0,False,AK
2016-10-02,35,False,AK
2016-10-09,0,False,AK
2016-10-16,0,False,AK
2016-10-23,0,False,AK
2016-10-30,0,False,AK
2016-11-06,34,False,AK
2016-11-13,0,False,AK
2016-11-20,0,False,AK
2016-11-27,0,False,AK
2016-12-04,0,False,AK
2016-12-11,35,False,AK
2016-12-18,0,False,AK
2016-12-25,38,False,AK
2017-01-01,0,False,AK
2017-01-08,35,False,AK
2017-01-15,0,False,AK
2017-01-22,0,False,AK
2017-01-29,0,False,AK
2017-02-05,0,False,AK
2017-02-12,0,False,AK
2017-02-19,0,False,AK
2017-02-26,32,False,AK
2017-03-05,0,False,AK
