date,lottery,isPartial,State
2011-01-01,29,False,AL
2011-02-01,27,False,AL
2011-03-01,28,False,AL
2011-04-01,28,False,AL
2011-05-01,28,False,AL
2011-06-01,26,False,AL
2011-07-01,28,False,AL
2011-08-01,29,False,AL
2011-09-01,30,False,AL
2011-10-01,28,False,AL
2011-11-01,24,False,AL
2011-12-01,26,False,AL
2012-01-01,29,False,AL
2012-02-01,28,False,AL
2012-03-01,44,False,AL
2012-04-01,29,False,AL
2012-05-01,27,False,AL
2012-06-01,26,False,AL
2012-07-01,21,False,AL
2012-08-01,20,False,AL
2012-09-01,23,False,AL
2012-10-01,19,False,AL
2012-11-01,40,False,AL
2012-12-01,29,False,AL
2013-01-01,22,False,AL
2013-02-01,18,False,AL
2013-03-01,26,False,AL
2013-04-01,19,False,AL
2013-05-01,32,False,AL
2013-06-01,27,False,AL
2013-07-01,31,False,AL
2013-08-01,29,False,AL
2013-09-01,23,False,AL
2013-10-01,17,False,AL
2013-11-01,20,False,AL
2013-12-01,40,False,AL
2014-01-01,30,False,AL
2014-02-01,26,False,AL
2014-03-01,27,False,AL
2014-04-01,26,False,AL
2014-05-01,22,False,AL
2014-06-01,18,False,AL
2014-07-01,23,False,AL
2014-08-01,24,False,AL
2014-09-01,21,False,AL
2014-10-01,21,False,AL
2014-11-01,23,False,AL
2014-12-01,18,False,AL
2015-01-01,21,False,AL
2015-02-01,32,False,AL
2015-03-01,21,False,AL
2015-04-01,18,False,AL
2015-05-01,26,False,AL
2015-06-01,25,False,AL
2015-07-01,21,False,AL
2015-08-01,20,False,AL
2015-09-01,19,False,AL
2015-10-01,20,False,AL
2015-11-01,22,False,AL
2015-12-01,22,False,AL
2016-01-01,100,False,AL
2016-02-01,28,False,AL
2016-03-01,23,False,AL
2016-04-01,20,False,AL
2016-05-01,29,False,AL
2016-06-01,27,False,AL
2016-07-01,36,False,AL
2016-08-01,24,False,AL
2016-09-01,23,False,AL
2016-10-01,21,False,AL
2016-11-01,22,False,AL
2016-12-01,24,False,AL
2017-01-01,21,False,AL
2017-02-01,24,False,AL
2017-03-01,24,False,AL
2017-04-01,23,False,AL
2017-05-01,26,False,AL
2017-06-01,29,False,AL
2017-07-01,28,False,AL
2017-08-01,45,False,AL
2017-09-01,24,False,AL
2017-10-01,22,False,AL
2017-11-01,21,False,AL
2017-12-01,29,False,AL
2018-01-01,33,False,AL
2018-02-01,23,False,AL
2018-03-01,28,False,AL
2018-04-01,27,False,AL
2018-05-01,27,False,AL
2018-06-01,26,False,AL
2018-07-01,30,False,AL
2018-08-01,27,False,AL
2018-09-01,24,False,AL
2018-10-01,70,False,AL
2018-11-01,25,False,AL
2018-12-01,28,False,AL
2019-01-01,29,False,AL
2011-01-01,48,False,AK
2011-02-01,36,False,AK
2011-03-01,33,False,AK
2011-04-01,40,False,AK
2011-05-01,31,False,AK
2011-06-01,59,False,AK
2011-07-01,71,False,AK
2011-08-01,32,False,AK
2011-09-01,49,False,AK
2011-10-01,37,False,AK
2011-11-01,31,False,AK
2011-12-01,43,False,AK
2012-01-01,19,False,AK
2012-02-01,47,False,AK
2012-03-01,100,False,AK
2012-04-01,31,False,AK
2012-05-01,40,False,AK
2012-06-01,49,False,AK
2012-07-01,49,False,AK
2012-08-01,35,False,AK
2012-09-01,22,False,AK
2012-10-01,28,False,AK
2012-11-01,52,False,AK
2012-12-01,31,False,AK
2013-01-01,24,False,AK
2013-02-01,16,False,AK
2013-03-01,23,False,AK
2013-04-01,16,False,AK
2013-05-01,40,False,AK
2013-06-01,64,False,AK
2013-07-01,48,False,AK
2013-08-01,46,False,AK
2013-09-01,33,False,AK
2013-10-01,36,False,AK
2013-11-01,31,False,AK
2013-12-01,35,False,AK
2014-01-01,34,False,AK
2014-02-01,28,False,AK
2014-03-01,55,False,AK
2014-04-01,46,False,AK
2014-05-01,37,False,AK
2014-06-01,31,False,AK
2014-07-01,52,False,AK
2014-08-01,40,False,AK
2014-09-01,36,False,AK
2014-10-01,19,False,AK
2014-11-01,15,False,AK
2014-12-01,31,False,AK
2015-01-01,39,False,AK
2015-02-01,37,False,AK
2015-03-01,42,False,AK
2015-04-01,29,False,AK
2015-05-01,23,False,AK
2015-06-01,39,False,AK
2015-07-01,32,False,AK
2015-08-01,26,False,AK
2015-09-01,28,False,AK
2015-10-01,11,False,AK
2015-11-01,12,False,AK
2015-12-01,35,False,AK
2016-01-01,64,False,AK
2016-02-01,11,False,AK
2016-03-01,23,False,AK
2016-04-01,32,False,AK
2016-05-01,46,False,AK
2016-06-01,29,False,AK
2016-07-01,36,False,AK
2016-08-01,23,False,AK
2016-09-01,30,False,AK
2016-10-01,13,False,AK
2016-11-01,13,False,AK
2016-12-01,34,False,AK
2017-01-01,23,False,AK
2017-02-01,37,False,AK
2017-03-01,14,False,AK
2017-04-01,37,False,AK
2017-05-01,45,False,AK
2017-06-01,32,False,AK
2017-07-01,22,False,AK
2017-08-01,37,False,AK
2017-09-01,25,False,AK
2017-10-01,22,False,AK
2017-11-01,15,False,AK
2017-12-01,25,False,AK
2018-01-01,50,False,AK
2018-02-01,32,False,AK
2018-03-01,24,False,AK
2018-04-01,20,False,AK
2018-05-01,33,False,AK
2018-06-01,23,False,AK
2018-07-01,30,False,AK
2018-08-01,26,False,AK
2018-09-01,28,False,AK
2018-10-01,60,False,AK
2018-11-01,21,False,AK
2018-12-01,26,False,AK
2019-01-01,29,False,AK
2011-01-01,60,False,AZ
2011-02-01,50,False,AZ
2011-03-01,53,False,AZ
2011-04-01,46,False,AZ
2011-05-01,45,False,AZ
2011-06-01,44,False,AZ
2011-07-01,47,False,AZ
2011-08-01,47,False,AZ
2011-09-01,57,False,AZ
2011-10-01,53,False,AZ
2011-11-01,45,False,AZ
2011-12-01,46,False,AZ
2012-01-01,45,False,AZ
2012-02-01,56,False,AZ
2012-03-01,87,False,AZ
2012-04-01,46,False,AZ
2012-05-01,33,False,AZ
2012-06-01,40,False,AZ
2012-07-01,34,False,AZ
2012-08-01,39,False,AZ
2012-09-01,39,False,AZ
2012-10-01,32,False,AZ
2012-11-01,61,False,AZ
2012-12-01,38,False,AZ
2013-01-01,35,False,AZ
2013-02-01,38,False,AZ
2013-03-01,64,False,AZ
2013-04-01,53,False,AZ
2013-05-01,74,False,AZ
2013-06-01,40,False,AZ
2013-07-01,36,False,AZ
2013-08-01,46,False,AZ
2013-09-01,41,False,AZ
2013-10-01,36,False,AZ
2013-11-01,36,False,AZ
2013-12-01,66,False,AZ
2014-01-01,39,False,AZ
2014-02-01,45,False,AZ
2014-03-01,45,False,AZ
2014-04-01,37,False,AZ
2014-05-01,41,False,AZ
2014-06-01,37,False,AZ
2014-07-01,36,False,AZ
2014-08-01,43,False,AZ
2014-09-01,37,False,AZ
2014-10-01,38,False,AZ
2014-11-01,38,False,AZ
2014-12-01,35,False,AZ
2015-01-01,43,False,AZ
2015-02-01,50,False,AZ
2015-03-01,35,False,AZ
2015-04-01,37,False,AZ
2015-05-01,42,False,AZ
2015-06-01,38,False,AZ
2015-07-01,35,False,AZ
2015-08-01,35,False,AZ
2015-09-01,38,False,AZ
2015-10-01,34,False,AZ
2015-11-01,32,False,AZ
2015-12-01,36,False,AZ
2016-01-01,100,False,AZ
2016-02-01,33,False,AZ
2016-03-01,32,False,AZ
2016-04-01,29,False,AZ
2016-05-01,36,False,AZ
2016-06-01,42,False,AZ
2016-07-01,49,False,AZ
2016-08-01,30,False,AZ
2016-09-01,33,False,AZ
2016-10-01,31,False,AZ
2016-11-01,34,False,AZ
2016-12-01,34,False,AZ
2017-01-01,31,False,AZ
2017-02-01,37,False,AZ
2017-03-01,30,False,AZ
2017-04-01,33,False,AZ
2017-05-01,40,False,AZ
2017-06-01,42,False,AZ
2017-07-01,42,False,AZ
2017-08-01,65,False,AZ
2017-09-01,36,False,AZ
2017-10-01,37,False,AZ
2017-11-01,40,False,AZ
2017-12-01,45,False,AZ
2018-01-01,49,False,AZ
2018-02-01,36,False,AZ
2018-03-01,45,False,AZ
2018-04-01,39,False,AZ
2018-05-01,40,False,AZ
2018-06-01,38,False,AZ
2018-07-01,52,False,AZ
2018-08-01,41,False,AZ
2018-09-01,37,False,AZ
2018-10-01,92,False,AZ
2018-11-01,37,False,AZ
2018-12-01,42,False,AZ
2019-01-01,39,False,AZ
2011-01-01,61,False,AR
2011-02-01,43,False,AR
2011-03-01,58,False,AR
2011-04-01,58,False,AR
2011-05-01,46,False,AR
2011-06-01,42,False,AR
2011-07-01,45,False,AR
2011-08-01,39,False,AR
2011-09-01,43,False,AR
2011-10-01,53,False,AR
2011-11-01,46,False,AR
2011-12-01,38,False,AR
2012-01-01,52,False,AR
2012-02-01,64,False,AR
2012-03-01,97,False,AR
2012-04-01,47,False,AR
2012-05-01,38,False,AR
2012-06-01,39,False,AR
2012-07-01,35,False,AR
2012-08-01,45,False,AR
2012-09-01,35,False,AR
2012-10-01,29,False,AR
2012-11-01,56,False,AR
2012-12-01,36,False,AR
2013-01-01,31,False,AR
2013-02-01,34,False,AR
2013-03-01,34,False,AR
2013-04-01,34,False,AR
2013-05-01,49,False,AR
2013-06-01,30,False,AR
2013-07-01,32,False,AR
2013-08-01,39,False,AR
2013-09-01,37,False,AR
2013-10-01,24,False,AR
2013-11-01,30,False,AR
2013-12-01,39,False,AR
2014-01-01,33,False,AR
2014-02-01,33,False,AR
2014-03-01,36,False,AR
2014-04-01,36,False,AR
2014-05-01,26,False,AR
2014-06-01,20,False,AR
2014-07-01,28,False,AR
2014-08-01,19,False,AR
2014-09-01,25,False,AR
2014-10-01,26,False,AR
2014-11-01,26,False,AR
2014-12-01,27,False,AR
2015-01-01,40,False,AR
2015-02-01,38,False,AR
2015-03-01,32,False,AR
2015-04-01,30,False,AR
2015-05-01,26,False,AR
2015-06-01,26,False,AR
2015-07-01,26,False,AR
2015-08-01,21,False,AR
2015-09-01,18,False,AR
2015-10-01,25,False,AR
2015-11-01,30,False,AR
2015-12-01,34,False,AR
2016-01-01,100,False,AR
2016-02-01,29,False,AR
2016-03-01,26,False,AR
2016-04-01,22,False,AR
2016-05-01,35,False,AR
2016-06-01,29,False,AR
2016-07-01,38,False,AR
2016-08-01,30,False,AR
2016-09-01,28,False,AR
2016-10-01,25,False,AR
2016-11-01,25,False,AR
2016-12-01,27,False,AR
2017-01-01,24,False,AR
2017-02-01,33,False,AR
2017-03-01,24,False,AR
2017-04-01,26,False,AR
2017-05-01,30,False,AR
2017-06-01,35,False,AR
2017-07-01,40,False,AR
2017-08-01,42,False,AR
2017-09-01,28,False,AR
2017-10-01,32,False,AR
2017-11-01,23,False,AR
2017-12-01,34,False,AR
2018-01-01,41,False,AR
2018-02-01,25,False,AR
2018-03-01,39,False,AR
2018-04-01,27,False,AR
2018-05-01,31,False,AR
2018-06-01,31,False,AR
2018-07-01,34,False,AR
2018-08-01,32,False,AR
2018-09-01,28,False,AR
2018-10-01,65,False,AR
2018-11-01,31,False,AR
2018-12-01,33,False,AR
2019-01-01,31,False,AR
2011-01-01,51,False,CA
2011-02-01,30,False,CA
2011-03-01,45,False,CA
2011-04-01,34,False,CA
2011-05-01,31,False,CA
2011-06-01,33,False,CA
2011-07-01,34,False,CA
2011-08-01,30,False,CA
2011-09-01,35,False,CA
2011-10-01,31,False,CA
2011-11-01,30,False,CA
2011-12-01,43,False,CA
2012-01-01,34,False,CA
2012-02-01,34,False,CA
2012-03-01,100,False,CA
2012-04-01,42,False,CA
2012-05-01,31,False,CA
2012-06-01,28,False,CA
2012-07-01,26,False,CA
2012-08-01,24,False,CA
2012-09-01,25,False,CA
2012-10-01,23,False,CA
2012-11-01,28,False,CA
2012-12-01,25,False,CA
2013-01-01,30,False,CA
2013-02-01,30,False,CA
2013-03-01,28,False,CA
2013-04-01,28,False,CA
2013-05-01,39,False,CA
2013-06-01,26,False,CA
2013-07-01,29,False,CA
2013-08-01,28,False,CA
2013-09-01,29,False,CA
2013-10-01,26,False,CA
2013-11-01,27,False,CA
2013-12-01,41,False,CA
2014-01-01,25,False,CA
2014-02-01,29,False,CA
2014-03-01,30,False,CA
2014-04-01,23,False,CA
2014-05-01,26,False,CA
2014-06-01,24,False,CA
2014-07-01,23,False,CA
2014-08-01,26,False,CA
2014-09-01,25,False,CA
2014-10-01,30,False,CA
2014-11-01,28,False,CA
2014-12-01,25,False,CA
2015-01-01,32,False,CA
2015-02-01,37,False,CA
2015-03-01,25,False,CA
2015-04-01,26,False,CA
2015-05-01,30,False,CA
2015-06-01,26,False,CA
2015-07-01,22,False,CA
2015-08-01,21,False,CA
2015-09-01,22,False,CA
2015-10-01,20,False,CA
2015-11-01,19,False,CA
2015-12-01,19,False,CA
2016-01-01,67,False,CA
2016-02-01,19,False,CA
2016-03-01,16,False,CA
2016-04-01,16,False,CA
2016-05-01,23,False,CA
2016-06-01,19,False,CA
2016-07-01,24,False,CA
2016-08-01,16,False,CA
2016-09-01,16,False,CA
2016-10-01,15,False,CA
2016-11-01,15,False,CA
2016-12-01,15,False,CA
2017-01-01,16,False,CA
2017-02-01,19,False,CA
2017-03-01,16,False,CA
2017-04-01,15,False,CA
2017-05-01,20,False,CA
2017-06-01,18,False,CA
2017-07-01,19,False,CA
2017-08-01,30,False,CA
2017-09-01,14,False,CA
2017-10-01,15,False,CA
2017-11-01,14,False,CA
2017-12-01,18,False,CA
2018-01-01,22,False,CA
2018-02-01,15,False,CA
2018-03-01,20,False,CA
2018-04-01,15,False,CA
2018-05-01,17,False,CA
2018-06-01,15,False,CA
2018-07-01,18,False,CA
2018-08-01,14,False,CA
2018-09-01,16,False,CA
2018-10-01,50,False,CA
2018-11-01,14,False,CA
2018-12-01,15,False,CA
2019-01-01,15,False,CA
2011-01-01,80,False,CO
2011-02-01,53,False,CO
2011-03-01,61,False,CO
2011-04-01,52,False,CO
2011-05-01,54,False,CO
2011-06-01,57,False,CO
2011-07-01,56,False,CO
2011-08-01,51,False,CO
2011-09-01,46,False,CO
2011-10-01,48,False,CO
2011-11-01,58,False,CO
2011-12-01,58,False,CO
2012-01-01,51,False,CO
2012-02-01,62,False,CO
2012-03-01,89,False,CO
2012-04-01,55,False,CO
2012-05-01,44,False,CO
2012-06-01,46,False,CO
2012-07-01,35,False,CO
2012-08-01,48,False,CO
2012-09-01,40,False,CO
2012-10-01,53,False,CO
2012-11-01,74,False,CO
2012-12-01,44,False,CO
2013-01-01,46,False,CO
2013-02-01,45,False,CO
2013-03-01,52,False,CO
2013-04-01,46,False,CO
2013-05-01,75,False,CO
2013-06-01,60,False,CO
2013-07-01,44,False,CO
2013-08-01,50,False,CO
2013-09-01,48,False,CO
2013-10-01,40,False,CO
2013-11-01,40,False,CO
2013-12-01,56,False,CO
2014-01-01,42,False,CO
2014-02-01,43,False,CO
2014-03-01,44,False,CO
2014-04-01,39,False,CO
2014-05-01,38,False,CO
2014-06-01,42,False,CO
2014-07-01,35,False,CO
2014-08-01,40,False,CO
2014-09-01,37,False,CO
2014-10-01,44,False,CO
2014-11-01,44,False,CO
2014-12-01,52,False,CO
2015-01-01,51,False,CO
2015-02-01,52,False,CO
2015-03-01,39,False,CO
2015-04-01,35,False,CO
2015-05-01,42,False,CO
2015-06-01,40,False,CO
2015-07-01,38,False,CO
2015-08-01,36,False,CO
2015-09-01,33,False,CO
2015-10-01,32,False,CO
2015-11-01,30,False,CO
2015-12-01,35,False,CO
2016-01-01,100,False,CO
2016-02-01,34,False,CO
2016-03-01,32,False,CO
2016-04-01,27,False,CO
2016-05-01,37,False,CO
2016-06-01,35,False,CO
2016-07-01,48,False,CO
2016-08-01,35,False,CO
2016-09-01,34,False,CO
2016-10-01,35,False,CO
2016-11-01,34,False,CO
2016-12-01,31,False,CO
2017-01-01,33,False,CO
2017-02-01,37,False,CO
2017-03-01,29,False,CO
2017-04-01,32,False,CO
2017-05-01,37,False,CO
2017-06-01,36,False,CO
2017-07-01,36,False,CO
2017-08-01,51,False,CO
2017-09-01,35,False,CO
2017-10-01,33,False,CO
2017-11-01,32,False,CO
