date,coursera,isPartial,State
2018-10-28,0,False,AL
2018-11-04,0,False,AL
2018-11-11,31,False,AL
2018-11-18,33,False,AL
2018-11-25,0,False,AL
2018-12-02,15,False,AL
2018-12-09,16,False,AL
2018-12-16,0,False,AL
2018-12-23,0,False,AL
2018-12-30,16,False,AL
2015-01-04,0,False,AK
2015-01-11,0,False,AK
2015-01-18,42,False,AK
2015-01-25,0,False,AK
2015-02-01,0,False,AK
2015-02-08,42,False,AK
2015-02-15,0,False,AK
2015-02-22,0,False,AK
2015-03-01,0,False,AK
2015-03-08,0,False,AK
2015-03-15,42,False,AK
2015-03-22,0,False,AK
2015-03-29,42,False,AK
2015-04-05,0,False,AK
2015-04-12,0,False,AK
2015-04-19,0,False,AK
2015-04-26,0,False,AK
2015-05-03,0,False,AK
2015-05-10,0,False,AK
2015-05-17,0,False,AK
2015-05-24,0,False,AK
2015-05-31,0,False,AK
2015-06-07,0,False,AK
2015-06-14,0,False,AK
2015-06-21,0,False,AK
2015-06-28,0,False,AK
2015-07-05,0,False,AK
2015-07-12,0,False,AK
2015-07-19,0,False,AK
2015-07-26,0,False,AK
2015-08-02,0,False,AK
2015-08-09,0,False,AK
2015-08-16,0,False,AK
2015-08-23,0,False,AK
2015-08-30,0,False,AK
2015-09-06,41,False,AK
2015-09-13,0,False,AK
2015-09-20,0,False,AK
2015-09-27,0,False,AK
2015-10-04,0,False,AK
2015-10-11,0,False,AK
2015-10-18,0,False,AK
2015-10-25,0,False,AK
2015-11-01,0,False,AK
2015-11-08,40,False,AK
2015-11-15,0,False,AK
2015-11-22,0,False,AK
2015-11-29,0,False,AK
2015-12-06,38,False,AK
2015-12-13,0,False,AK
2015-12-20,46,False,AK
2015-12-27,0,False,AK
2016-01-03,38,False,AK
2016-01-10,37,False,AK
2016-01-17,37,False,AK
2016-01-24,0,False,AK
2016-01-31,0,False,AK
2016-02-07,37,False,AK
2016-02-14,0,False,AK
2016-02-21,0,False,AK
2016-02-28,0,False,AK
2016-03-06,0,False,AK
2016-03-13,0,False,AK
2016-03-20,0,False,AK
2016-03-27,0,False,AK
2016-04-03,0,False,AK
2016-04-10,0,False,AK
2016-04-17,0,False,AK
2016-04-24,0,False,AK
2016-05-01,0,False,AK
2016-05-08,0,False,AK
2016-05-15,0,False,AK
2016-05-22,0,False,AK
2016-05-29,0,False,AK
2016-06-05,0,False,AK
2016-06-12,0,False,AK
2016-06-19,0,False,AK
2016-06-26,0,False,AK
2016-07-03,0,False,AK
2016-07-10,37,False,AK
2016-07-17,0,False,AK
2016-07-24,0,False,AK
2016-07-31,0,False,AK
2016-08-07,0,False,AK
2016-08-14,0,False,AK
2016-08-21,0,False,AK
2016-08-28,0,False,AK
2016-09-04,0,False,AK
2016-09-11,0,False,AK
2016-09-18,0,False,AK
2016-09-25,0,False,AK
2016-10-02,0,False,AK
2016-10-09,0,False,AK
2016-10-16,0,False,AK
2016-10-23,0,False,AK
2016-10-30,0,False,AK
2016-11-06,34,False,AK
2016-11-13,0,False,AK
2016-11-20,0,False,AK
2016-11-27,36,False,AK
2016-12-04,0,False,AK
2016-12-11,0,False,AK
2016-12-18,0,False,AK
2016-12-25,0,False,AK
2017-01-01,0,False,AK
2017-01-08,0,False,AK
2017-01-15,0,False,AK
2017-01-22,35,False,AK
2017-01-29,0,False,AK
2017-02-05,0,False,AK
2017-02-12,0,False,AK
2017-02-19,0,False,AK
2017-02-26,0,False,AK
2017-03-05,0,False,AK
2017-03-12,0,False,AK
2017-03-19,34,False,AK
2017-03-26,0,False,AK
2017-04-02,0,False,AK
2017-04-09,0,False,AK
2017-04-16,0,False,AK
2017-04-23,0,False,AK
2017-04-30,0,False,AK
2017-05-07,0,False,AK
2017-05-14,39,False,AK
2017-05-21,0,False,AK
2017-05-28,0,False,AK
2017-06-04,0,False,AK
2017-06-11,0,False,AK
2017-06-18,0,False,AK
2017-06-25,0,False,AK
2017-07-02,0,False,AK
2017-07-09,0,False,AK
2017-07-16,0,False,AK
2017-07-23,0,False,AK
2017-07-30,0,False,AK
2017-08-06,0,False,AK
2017-08-13,0,False,AK
2017-08-20,0,False,AK
2017-08-27,0,False,AK
2017-09-03,0,False,AK
2017-09-10,0,False,AK
2017-09-17,0,False,AK
2017-09-24,0,False,AK
2017-10-01,0,False,AK
2017-10-08,0,False,AK
2017-10-15,0,False,AK
2017-10-22,0,False,AK
2017-10-29,0,False,AK
2017-11-05,36,False,AK
2017-11-12,0,False,AK
2017-11-19,0,False,AK
2017-11-26,34,False,AK
2017-12-03,34,False,AK
2017-12-10,0,False,AK
2017-12-17,0,False,AK
2017-12-24,0,False,AK
2017-12-31,0,False,AK
2018-01-07,0,False,AK
2018-01-14,35,False,AK
2018-01-21,33,False,AK
2018-01-28,0,False,AK
2018-02-04,0,False,AK
2018-02-11,100,False,AK
2018-02-18,0,False,AK
2018-02-25,0,False,AK
2018-03-04,0,False,AK
