date,harry potter,isPartial,State
2015-05-10,34,False,AK
2015-05-17,0,False,AK
2015-05-24,55,False,AK
2015-05-31,25,False,AK
2015-06-07,35,False,AK
2015-06-14,52,False,AK
2015-06-21,17,False,AK
2015-06-28,26,False,AK
2015-07-05,34,False,AK
2015-07-12,32,False,AK
2015-07-19,51,False,AK
2015-07-26,57,False,AK
2015-08-02,8,False,AK
2015-08-09,17,False,AK
2015-08-16,24,False,AK
2015-08-23,16,False,AK
2015-08-30,41,False,AK
2015-09-06,64,False,AK
2015-09-13,23,False,AK
2015-09-20,46,False,AK
2015-09-27,23,False,AK
2015-10-04,52,False,AK
2015-10-11,61,False,AK
2015-10-18,38,False,AK
2015-10-25,31,False,AK
2015-11-01,31,False,AK
2015-11-08,46,False,AK
2015-11-15,23,False,AK
2015-11-22,41,False,AK
2015-11-29,59,False,AK
2015-12-06,44,False,AK
2015-12-13,24,False,AK
2015-12-20,27,False,AK
2015-12-27,58,False,AK
2016-01-03,45,False,AK
2016-01-10,51,False,AK
2016-01-17,59,False,AK
2016-01-24,36,False,AK
2016-01-31,36,False,AK
2016-02-07,36,False,AK
2016-02-14,30,False,AK
2016-02-21,79,False,AK
2016-02-28,21,False,AK
2016-03-06,65,False,AK
2016-03-13,45,False,AK
2016-03-20,36,False,AK
2016-03-27,49,False,AK
2016-04-03,14,False,AK
2016-04-10,50,False,AK
2016-04-17,43,False,AK
2016-04-24,35,False,AK
2016-05-01,29,False,AK
2016-05-08,37,False,AK
2016-05-15,52,False,AK
2016-05-22,61,False,AK
2016-05-29,39,False,AK
2016-06-05,37,False,AK
2016-06-12,15,False,AK
2016-06-19,37,False,AK
2016-06-26,15,False,AK
2016-07-03,45,False,AK
2016-07-10,29,False,AK
2016-07-17,43,False,AK
2016-07-24,65,False,AK
2016-07-31,100,False,AK
2016-08-07,80,False,AK
2016-08-14,89,False,AK
2016-08-21,73,False,AK
2016-08-28,65,False,AK
2016-09-04,64,False,AK
2016-09-11,48,False,AK
2016-09-18,42,False,AK
2016-09-25,35,False,AK
2016-10-02,42,False,AK
2016-10-09,64,False,AK
2016-10-16,80,False,AK
2016-10-23,58,False,AK
2016-10-30,44,False,AK
2016-11-06,41,False,AK
2016-11-13,72,False,AK
2016-11-20,89,False,AK
2016-11-27,56,False,AK
2016-12-04,74,False,AK
2016-12-11,63,False,AK
2016-12-18,52,False,AK
2016-12-25,61,False,AK
2017-01-01,67,False,AK
2017-01-08,57,False,AK
2017-01-15,48,False,AK
2017-01-22,27,False,AK
2017-01-29,54,False,AK
2017-02-05,61,False,AK
2017-02-12,33,False,AK
2017-02-19,27,False,AK
2017-02-26,52,False,AK
2017-03-05,32,False,AK
2017-03-12,61,False,AK
2017-03-19,60,False,AK
2017-03-26,39,False,AK
2017-04-02,40,False,AK
2017-04-09,27,False,AK
2017-04-16,21,False,AK
2017-04-23,60,False,AK
2017-04-30,54,False,AK
2017-05-07,28,False,AK
2017-05-14,45,False,AK
2017-05-21,38,False,AK
2017-05-28,64,False,AK
2017-06-04,61,False,AK
2017-06-11,38,False,AK
2017-06-18,37,False,AK
2017-06-25,38,False,AK
2017-07-02,39,False,AK
2017-07-09,52,False,AK
2017-07-16,0,False,AK
2017-07-23,58,False,AK
2017-07-30,36,False,AK
2017-08-06,28,False,AK
2017-08-13,42,False,AK
2017-08-20,35,False,AK
2017-08-27,69,False,AK
2017-09-03,64,False,AK
2017-09-10,34,False,AK
2017-09-17,41,False,AK
2017-09-24,64,False,AK
2017-10-01,55,False,AK
2017-10-08,21,False,AK
2017-10-15,56,False,AK
2017-10-22,50,False,AK
2017-10-29,36,False,AK
2017-11-05,57,False,AK
2017-11-12,14,False,AK
2017-11-19,43,False,AK
2017-11-26,27,False,AK
2017-12-03,74,False,AK
2017-12-10,7,False,AK
2017-12-17,50,False,AK
2017-12-24,39,False,AK
2017-12-31,95,False,AK
2018-01-07,56,False,AK
2018-01-14,47,False,AK
2018-01-21,57,False,AK
2018-01-28,33,False,AK
2018-02-04,26,False,AK
2018-02-11,53,False,AK
2018-02-18,46,False,AK
2018-02-25,39,False,AK
2018-03-04,59,False,AK
2018-03-11,48,False,AK
2018-03-18,53,False,AK
2018-03-25,27,False,AK
2018-04-01,40,False,AK
2018-04-08,27,False,AK
2018-04-15,41,False,AK
2018-04-22,7,False,AK
2018-04-29,79,False,AK
2018-05-06,34,False,AK
2018-05-13,34,False,AK
2018-05-20,42,False,AK
2018-05-27,51,False,AK
2018-06-03,43,False,AK
2018-06-10,40,False,AK
2018-06-17,60,False,AK
2018-06-24,34,False,AK
2018-07-01,64,False,AK
2018-07-08,7,False,AK
2018-07-15,54,False,AK
2018-07-22,27,False,AK
2018-07-29,72,False,AK
2018-08-05,19,False,AK
2018-08-12,47,False,AK
2018-08-19,48,False,AK
2018-08-26,69,False,AK
2018-09-02,57,False,AK
2018-09-09,41,False,AK
2018-09-16,35,False,AK
2018-09-23,42,False,AK
2018-09-30,63,False,AK
2018-10-07,28,False,AK
2018-10-14,20,False,AK
2018-10-21,85,False,AK
2018-10-28,43,False,AK
2018-11-04,62,False,AK
2018-11-11,86,False,AK
2018-11-18,96,False,AK
2018-11-25,81,False,AK
2018-12-02,64,False,AK
2018-12-09,64,False,AK
2018-12-16,30,False,AK
2018-12-23,32,False,AK
2018-12-30,68,False,AK
2015-01-04,16,False,AZ
2015-01-11,24,False,AZ
2015-01-18,22,False,AZ
2015-01-25,22,False,AZ
2015-02-01,20,False,AZ
2015-02-08,21,False,AZ
2015-02-15,23,False,AZ
2015-02-22,12,False,AZ
2015-03-01,18,False,AZ
2015-03-08,17,False,AZ
2015-03-15,20,False,AZ
2015-03-22,23,False,AZ
2015-03-29,14,False,AZ
2015-04-05,15,False,AZ
2015-04-12,25,False,AZ
2015-04-19,25,False,AZ
2015-04-26,19,False,AZ
2015-05-03,18,False,AZ
2015-05-10,24,False,AZ
2015-05-17,22,False,AZ
2015-05-24,22,False,AZ
2015-05-31,30,False,AZ
2015-06-07,23,False,AZ
2015-06-14,21,False,AZ
2015-06-21,27,False,AZ
2015-06-28,21,False,AZ
2015-07-05,25,False,AZ
2015-07-12,22,False,AZ
2015-07-19,20,False,AZ
2015-07-26,42,False,AZ
2015-08-02,35,False,AZ
2015-08-09,23,False,AZ
2015-08-16,20,False,AZ
2015-08-23,25,False,AZ
2015-08-30,27,False,AZ
2015-09-06,19,False,AZ
2015-09-13,31,False,AZ
2015-09-20,26,False,AZ
2015-09-27,31,False,AZ
2015-10-04,23,False,AZ
2015-10-11,21,False,AZ
2015-10-18,37,False,AZ
2015-10-25,30,False,AZ
2015-11-01,26,False,AZ
2015-11-08,31,False,AZ
2015-11-15,16,False,AZ
2015-11-22,21,False,AZ
2015-11-29,26,False,AZ
2015-12-06,21,False,AZ
2015-12-13,20,False,AZ
2015-12-20,32,False,AZ
2015-12-27,37,False,AZ
2016-01-03,27,False,AZ
2016-01-10,36,False,AZ
2016-01-17,29,False,AZ
2016-01-24,22,False,AZ
