date,pornhub,isPartial,State
2013-08-01,77,False,AZ
2013-09-01,76,False,AZ
2013-10-01,74,False,AZ
2013-11-01,74,False,AZ
2013-12-01,71,False,AZ
2014-01-01,66,False,AZ
2014-02-01,63,False,AZ
2014-03-01,69,False,AZ
2014-04-01,66,False,AZ
2014-05-01,74,False,AZ
2014-06-01,74,False,AZ
2014-07-01,72,False,AZ
2014-08-01,67,False,AZ
2014-09-01,69,False,AZ
2014-10-01,65,False,AZ
2014-11-01,66,False,AZ
2014-12-01,67,False,AZ
2015-01-01,68,False,AZ
2015-02-01,64,False,AZ
2015-03-01,69,False,AZ
2015-04-01,68,False,AZ
2015-05-01,68,False,AZ
2015-06-01,76,False,AZ
2015-07-01,74,False,AZ
2015-08-01,72,False,AZ
2015-09-01,68,False,AZ
2015-10-01,71,False,AZ
2015-11-01,73,False,AZ
2015-12-01,71,False,AZ
2016-01-01,68,False,AZ
2016-02-01,68,False,AZ
2016-03-01,74,False,AZ
2016-04-01,73,False,AZ
2016-05-01,72,False,AZ
2016-06-01,77,False,AZ
2016-07-01,77,False,AZ
2016-08-01,77,False,AZ
2016-09-01,75,False,AZ
2016-10-01,72,False,AZ
2016-11-01,68,False,AZ
2016-12-01,71,False,AZ
2017-01-01,70,False,AZ
2017-02-01,65,False,AZ
2017-03-01,72,False,AZ
2017-04-01,78,False,AZ
2017-05-01,78,False,AZ
2017-06-01,81,False,AZ
2017-07-01,86,False,AZ
2017-08-01,80,False,AZ
2017-09-01,79,False,AZ
2017-10-01,79,False,AZ
2017-11-01,88,False,AZ
2017-12-01,94,False,AZ
2018-01-01,93,False,AZ
2018-02-01,83,False,AZ
2018-03-01,91,False,AZ
2018-04-01,87,False,AZ
2018-05-01,93,False,AZ
2018-06-01,98,False,AZ
2018-07-01,100,False,AZ
2018-08-01,93,False,AZ
2018-09-01,90,False,AZ
2018-10-01,93,False,AZ
2018-11-01,90,False,AZ
2018-12-01,95,False,AZ
2019-01-01,93,False,AZ
2011-01-01,38,False,AR
2011-02-01,40,False,AR
2011-03-01,41,False,AR
2011-04-01,39,False,AR
2011-05-01,41,False,AR
2011-06-01,41,False,AR
2011-07-01,50,False,AR
2011-08-01,42,False,AR
2011-09-01,41,False,AR
2011-10-01,48,False,AR
2011-11-01,50,False,AR
2011-12-01,56,False,AR
2012-01-01,49,False,AR
2012-02-01,50,False,AR
2012-03-01,58,False,AR
2012-04-01,47,False,AR
2012-05-01,56,False,AR
