date,brownie recipe,isPartial,State
2018-10-21,11,False,AL
2018-10-28,21,False,AL
2018-11-04,10,False,AL
2018-11-11,0,False,AL
2018-11-18,0,False,AL
2018-11-25,10,False,AL
2018-12-02,30,False,AL
2018-12-09,10,False,AL
2018-12-16,11,False,AL
2018-12-23,0,False,AL
2018-12-30,43,False,AL
2015-01-04,0,False,AK
2015-01-11,0,False,AK
2015-01-18,100,False,AK
2015-01-25,50,False,AK
2015-02-01,0,False,AK
2015-02-08,0,False,AK
2015-02-15,0,False,AK
2015-02-22,0,False,AK
2015-03-01,0,False,AK
2015-03-08,0,False,AK
2015-03-15,0,False,AK
2015-03-22,0,False,AK
2015-03-29,0,False,AK
2015-04-05,0,False,AK
2015-04-12,47,False,AK
2015-04-19,0,False,AK
2015-04-26,0,False,AK
2015-05-03,0,False,AK
2015-05-10,0,False,AK
2015-05-17,54,False,AK
2015-05-24,0,False,AK
2015-05-31,0,False,AK
2015-06-07,0,False,AK
2015-06-14,53,False,AK
2015-06-21,0,False,AK
2015-06-28,52,False,AK
2015-07-05,0,False,AK
2015-07-12,49,False,AK
2015-07-19,0,False,AK
2015-07-26,0,False,AK
2015-08-02,0,False,AK
2015-08-09,0,False,AK
2015-08-16,0,False,AK
2015-08-23,0,False,AK
2015-08-30,0,False,AK
2015-09-06,0,False,AK
2015-09-13,0,False,AK
2015-09-20,0,False,AK
2015-09-27,0,False,AK
2015-10-04,0,False,AK
2015-10-11,0,False,AK
2015-10-18,47,False,AK
2015-10-25,47,False,AK
2015-11-01,0,False,AK
2015-11-08,0,False,AK
2015-11-15,45,False,AK
2015-11-22,0,False,AK
2015-11-29,0,False,AK
2015-12-06,45,False,AK
2015-12-13,96,False,AK
2015-12-20,0,False,AK
2015-12-27,0,False,AK
2016-01-03,46,False,AK
2016-01-10,0,False,AK
2016-01-17,44,False,AK
2016-01-24,0,False,AK
2016-01-31,44,False,AK
2016-02-07,0,False,AK
2016-02-14,0,False,AK
2016-02-21,0,False,AK
2016-02-28,0,False,AK
2016-03-06,87,False,AK
2016-03-13,0,False,AK
2016-03-20,0,False,AK
2016-03-27,0,False,AK
2016-04-03,0,False,AK
2016-04-10,0,False,AK
2016-04-17,0,False,AK
2016-04-24,0,False,AK
2016-05-01,0,False,AK
2016-05-08,0,False,AK
2016-05-15,0,False,AK
2016-05-22,0,False,AK
2016-05-29,0,False,AK
2016-06-05,45,False,AK
2016-06-12,0,False,AK
2016-06-19,0,False,AK
2016-06-26,0,False,AK
2016-07-03,0,False,AK
2016-07-10,0,False,AK
2016-07-17,0,False,AK
2016-07-24,43,False,AK
2016-07-31,43,False,AK
2016-08-07,44,False,AK
2016-08-14,0,False,AK
2016-08-21,0,False,AK
2016-08-28,0,False,AK
2016-09-04,0,False,AK
2016-09-11,42,False,AK
2016-09-18,42,False,AK
2016-09-25,0,False,AK
2016-10-02,0,False,AK
2016-10-09,0,False,AK
2016-10-16,0,False,AK
2016-10-23,0,False,AK
2016-10-30,0,False,AK
2016-11-06,0,False,AK
2016-11-13,0,False,AK
2016-11-20,45,False,AK
2016-11-27,0,False,AK
2016-12-04,41,False,AK
2016-12-11,0,False,AK
2016-12-18,0,False,AK
2016-12-25,0,False,AK
2017-01-01,0,False,AK
2017-01-08,0,False,AK
2017-01-15,0,False,AK
2017-01-22,42,False,AK
2017-01-29,0,False,AK
2017-02-05,0,False,AK
2017-02-12,40,False,AK
2017-02-19,0,False,AK
2017-02-26,0,False,AK
2017-03-05,0,False,AK
2017-03-12,41,False,AK
2017-03-19,0,False,AK
2017-03-26,40,False,AK
2017-04-02,40,False,AK
2017-04-09,42,False,AK
2017-04-16,0,False,AK
2017-04-23,0,False,AK
2017-04-30,41,False,AK
2017-05-07,42,False,AK
2017-05-14,0,False,AK
2017-05-21,0,False,AK
2017-05-28,0,False,AK
2017-06-04,46,False,AK
2017-06-11,0,False,AK
2017-06-18,44,False,AK
2017-06-25,0,False,AK
2017-07-02,0,False,AK
2017-07-09,90,False,AK
2017-07-16,92,False,AK
2017-07-23,0,False,AK
2017-07-30,0,False,AK
2017-08-06,0,False,AK
2017-08-13,0,False,AK
2017-08-20,0,False,AK
2017-08-27,0,False,AK
2017-09-03,0,False,AK
2017-09-10,0,False,AK
2017-09-17,41,False,AK
2017-09-24,0,False,AK
2017-10-01,42,False,AK
2017-10-08,0,False,AK
2017-10-15,0,False,AK
2017-10-22,0,False,AK
2017-10-29,0,False,AK
2017-11-05,0,False,AK
2017-11-12,0,False,AK
2017-11-19,43,False,AK
2017-11-26,0,False,AK
2017-12-03,0,False,AK
2017-12-10,0,False,AK
2017-12-17,43,False,AK
2017-12-24,0,False,AK
2017-12-31,44,False,AK
2018-01-07,0,False,AK
2018-01-14,0,False,AK
2018-01-21,0,False,AK
2018-01-28,41,False,AK
2018-02-04,40,False,AK
2018-02-11,40,False,AK
2018-02-18,0,False,AK
2018-02-25,0,False,AK
2018-03-04,0,False,AK
2018-03-11,42,False,AK
2018-03-18,40,False,AK
2018-03-25,0,False,AK
2018-04-01,81,False,AK
2018-04-08,0,False,AK
2018-04-15,0,False,AK
2018-04-22,41,False,AK
2018-04-29,0,False,AK
2018-05-06,0,False,AK
2018-05-13,0,False,AK
2018-05-20,42,False,AK
2018-05-27,0,False,AK
2018-06-03,0,False,AK
2018-06-10,0,False,AK
2018-06-17,0,False,AK
2018-06-24,0,False,AK
2018-07-01,0,False,AK
2018-07-08,0,False,AK
2018-07-15,41,False,AK
2018-07-22,0,False,AK
2018-07-29,0,False,AK
2018-08-05,0,False,AK
2018-08-12,0,False,AK
2018-08-19,0,False,AK
2018-08-26,0,False,AK
2018-09-02,0,False,AK
2018-09-09,42,False,AK
2018-09-16,0,False,AK
2018-09-23,43,False,AK
2018-09-30,42,False,AK
2018-10-07,0,False,AK
2018-10-14,0,False,AK
2018-10-21,0,False,AK
2018-10-28,0,False,AK
2018-11-04,34,False,AK
2018-11-11,43,False,AK
2018-11-18,45,False,AK
2018-11-25,0,False,AK
2018-12-02,0,False,AK
2018-12-09,43,False,AK
2018-12-16,0,False,AK
2018-12-23,0,False,AK
2018-12-30,91,False,AK
2015-01-04,16,False,AZ
2015-01-11,46,False,AZ
2015-01-18,0,False,AZ
2015-01-25,0,False,AZ
2015-02-01,45,False,AZ
2015-02-08,45,False,AZ
2015-02-15,31,False,AZ
2015-02-22,45,False,AZ
2015-03-01,44,False,AZ
